Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic
CH_ZQ_T1_OM_ANNA25A_A,13-Mar-23,100,99.83,0.19,9837.99,223.66,100,0,8.65,,0,100,100,92.31,,0.37,0.22,5.7484,6.44
,14-Mar-23,99.87,99.93,0.15,1667.85,820.57,99.45,0,5.94,,0,96.14,100,83.33,100,0.22,0.23,5.56,8.04
,15-Mar-23,99.85,99.81,0.17,4226.48,919.42,99.54,0,5.95,,1.56,100,100,90,,0.26,0.07,6.8081,4.03
,16-Mar-23,99.79,100,0,7558.06,500.41,100,0,8.16,,0,100,100,89.74,100,0.57,0.22,6.3487,3.9
,17-Mar-23,100,100,0,11121.22,661.05,100,0,7.34,,0,100,100,100,,0.1,0.13,5.8835,5.87
CH_ZQ_T1_OM_ANNA25B_B,13-Mar-23,99.88,99.94,0.02,5929.82,410.85,100,0,8.54,,0,99.65,100,100,,0.01,0.02,21.5119,0.74
,14-Mar-23,99.89,99.98,0.04,5245.39,665.87,99.86,0,8.55,,0,99.84,100,100,,0.15,0.09,23.0059,0.5
,15-Mar-23,99.94,99.98,0.03,5661.64,828,100,0,8.53,,10,99.85,100,100,,0.88,0.28,26.612,0.51
,16-Mar-23,100,99.96,0.02,5862.21,733.56,100,0,8.68,,0,99.85,100,100,,0.03,0.01,27.7154,0.7
,17-Mar-23,99.92,99.95,0.01,5779.44,795.74,100,0,8.62,,0,100,100,100,,0.01,0,26.5528,0.87
CH_ZQ_T1_OM_ANNA25C_C,13-Mar-23,99.79,100,0.13,7878.13,244.27,100,0,7.5,,0,100,100,100,,0.46,0.06,6.9831,0.11
,14-Mar-23,100,100,0.46,6803.01,539.12,100,0,7.54,,0,99.12,100,100,,0.22,0,10.1991,0.12
,15-Mar-23,99.56,100,0.13,8328.75,638.25,100,0,8.41,,0,100,100,,,0.12,0,8.0582,0.08
,16-Mar-23,100,100,0,8794.35,938.8,100,0,8.79,,0,100,100,100,100,0.12,0,8.056,0.11
,17-Mar-23,99.75,100,0.14,10727.8,534.28,100,0,8.89,,0,100,100,100,,0.08,0.04,12.5343,0.45
CH_ZQ_T1_OM_ANNA25D_D,13-Mar-23,99.82,99.94,0.08,6042.81,248.69,100,0,9.37,,0,99.41,100,100,,0.12,0.08,38.3668,1.05
,14-Mar-23,99.91,99.99,0.1,7352.01,454.57,98.8,0,9.29,,0,99.59,100,100,,0.01,0.11,36.7388,0.89
,15-Mar-23,100,100,0,6912.34,813.48,99.61,0,8.97,,0,97.91,100,100,,0.02,0.33,41.6539,1.52
,16-Mar-23,99.96,99.91,0.1,6524.1,530.98,100,0,9.52,,0,99.29,100,100,100,0.04,0.01,40.7219,1.57
,17-Mar-23,99.95,99.98,0.02,5855.67,697.18,99.81,0,9.42,,0,99.88,100,100,100,0.17,0.12,45.9952,1.48
CH_ZQ_T1_OM_AYAN31A_A,13-Mar-23,99.86,99.87,0.02,4937.45,143.08,99.59,0,8.88,,0,100,100,,,0.01,0.05,27.4301,0.88
,14-Mar-23,99.91,99.97,0.03,7903.07,503.64,100,0,9.16,,0,99.69,99.22,100,,0.01,0.01,30.8057,1.16
,15-Mar-23,99.94,100,0,6835,636.06,100,0,8.66,,0,100,100,,100,0.01,0.01,34.9285,0.97
,16-Mar-23,99.97,99.97,0,6857.73,614.82,99.56,0,9.04,,0,99.77,100,100,,0.03,0.02,36.0631,0.92
,17-Mar-23,100,100,0.07,7031.47,625.47,99.71,0,9.27,,0,99.64,100,100,100,0.02,0,35.0474,1.03
CH_ZQ_T1_OM_AYAN31B_B,13-Mar-23,99.95,99.98,0.03,5242,306.65,99.63,0,9.42,,0,100,100,,,0.03,0.03,26.2208,0.42
,14-Mar-23,99.96,99.91,0,6647.15,998.13,100,0,9.13,,0,99.62,100,,,0,0.07,24.8326,0.23
,15-Mar-23,100,99.88,0.06,7997.19,760.61,100,0,10,,0,100,100,,100,0,0,28.3002,0.27
,16-Mar-23,100,100,0,10571.46,766.65,100,0,9.89,,0,100,100,,,0.01,0,20.5034,0.24
,17-Mar-23,99.95,99.9,0,8445.45,819.01,100,0,9.92,,0,100,100,,,0.01,0,22.0037,0.33
CH_ZQ_T1_OM_AYAN31B_M,13-Mar-23,99.96,99.96,0.03,8671.17,304.72,99.88,0,9.53,,0,99.84,100,100,,0.01,0,17.9069,1.25
,14-Mar-23,100,99.96,0.02,8913.13,467.04,100,0,9.16,,0,100,100,100,,0,0.09,19.0426,0.78
,15-Mar-23,99.96,99.95,0,12141.65,652.98,100,0,9.93,,0,99.31,100,100,,0.02,2.28,16.1872,0.7
,16-Mar-23,99.92,99.95,0,11193.42,639.05,100,0,9.04,,0,100,100,100,,0.02,1.59,13.9195,0.55
,17-Mar-23,100,100,0.09,14017.81,634.79,100,0,9.43,,0,99.18,100,,100,0,0.01,14.6977,0.77
CH_ZQ_T1_OM_AYAN31C_C,13-Mar-23,99.81,99.85,0,7413.04,416.43,99.67,0,8.49,,0,99.43,100,100,,0.01,0,14.8313,0.26
,14-Mar-23,99.95,100,0,4309.72,314.45,100,0,7.96,,0,100,100,100,,0.09,0.11,15.7275,0.32
,15-Mar-23,99.88,100,0,7055.41,396.2,100,0,8.02,,0,100,100,100,,0.06,0.02,14.552,0.26
,16-Mar-23,100,100,0,7160.66,686.77,100,0,8.7,,,100,100,100,,0,0,13.4742,0.22
,17-Mar-23,100,99.81,0,6195.95,561.04,100,0,8.58,,0,99.1,100,100,,0,0,14.6537,0.18
CH_ZQ_T1_OM_AYAN31D_D,13-Mar-23,99.59,99.75,0.02,3738.55,92.84,99.39,0,9.08,,0,99.69,100,100,,0.02,0.08,22.6318,1.91
,14-Mar-23,98.72,99.66,0,9383.23,109.58,100,0,9.21,,0,100,100,100,,0.2,0.18,31.858,0.78
,15-Mar-23,100,99.94,0.02,5142.75,559.36,100,0,9.46,,0,99.26,100,100,,0.03,0.02,27.2,1.82
,16-Mar-23,99.89,99.95,0.02,4577.2,324.29,100,0,9.19,,0,99.76,100,100,,0.01,0,25.9956,1.55
,17-Mar-23,99.87,99.92,0.05,6510.29,346.74,100,0,9.19,,0,99.37,100,100,,0.03,0.75,25.6183,1.22
CH_ZQ_T1_OM_BHAR19A_A,13-Mar-23,97.69,98.68,0,3450.18,62.03,99.86,0,6.69,,0,100,100,100,,0.18,4.93,8.0095,0.11
,14-Mar-23,100,100,0,4519.66,194.37,100,0,7.09,,0,100,100,,,0,0,8.9794,0.12
,15-Mar-23,99.84,99.82,0,6943.33,649.53,99.74,0,7.54,,0,96.55,100,100,,0.95,1.8,9.6358,0.18
,16-Mar-23,99.87,99.73,0,3654.4,821.1,100,0,6.88,,0,96.15,100,100,,0.32,1.46,12.9963,0.16
,17-Mar-23,99.76,99.87,0,4328.46,473.27,99.78,0,6.95,,,100,100,100,,0.03,16.73,11.2741,0.12
CH_ZQ_T1_OM_BHAR19B_B,13-Mar-23,98.1,98.23,0,7209.66,41.96,93.75,0,8.6,,0,100,100,100,,0.01,1.36,9.8825,0.54
,14-Mar-23,99.78,99.65,0.19,3992.71,325.7,100,0,7.52,,0,100,100,100,,0.31,0.04,10.8657,0.13
,15-Mar-23,100,100,0.1,7570.07,515.19,100,0,8.75,,0,100,100,,,0,0,9.6258,0.08
,16-Mar-23,99.8,99.92,0,6164.58,316.83,99.13,0,7.53,,0,98.33,100,100,,0.62,0.17,9.7136,0.08
,17-Mar-23,99.89,100,0,3763.92,212.09,100,0,7.13,,0,100,100,100,,0,0.03,10.0301,0.15
CH_ZQ_T1_OM_BHAR19C_C,13-Mar-23,100,100,0,4465.39,1274.12,99.49,0,7.89,,0,100,100,,,3.34,0.11,3.4483,0.04
,14-Mar-23,99.45,99.37,0,5882.15,358.75,99.56,0,7.83,,0,100,100,,,0.16,0,4.5134,0.03
,15-Mar-23,100,100,0,5242.9,549.98,99.64,0,7.38,,,100,100,,,0,0,6.8987,0.04
,16-Mar-23,100,100,0,8392.94,439.42,100,0,7.84,,0,100,100,100,,2.67,0.15,5.8794,0.06
,17-Mar-23,99.69,100,0,7700.68,1112.69,100,0,7.71,,,100,100,,,0,0,6.1987,0.04
CH_ZQ_T1_OM_BHAR19C_N,13-Mar-23,99.88,100,0,4468.61,148.76,99.66,0,6.98,,0,99.51,100,100,,0.03,0.03,3.5144,0.22
,14-Mar-23,99.63,98.78,0,5413.21,471.63,100,0,6.66,,0,100,100,,,0.02,0.3,4.9266,0.12
,15-Mar-23,100,100,0.18,5174.36,442.76,98.96,0,6.97,,0,100,100,100,,0.08,8.61,5.9491,0.23
,16-Mar-23,100,99.59,0,6574.86,481.16,100,0,7.54,,0,99.22,100,100,,0.02,0.06,6.0743,0.14
,17-Mar-23,99.79,100,0,2089.37,457.83,99.57,0,6.84,,0,100,100,100,,0,0,4.8791,0.32
CH_ZQ_T1_OM_BHAR19D_D,13-Mar-23,100,100,0,6075.32,371.75,99.66,0,6.92,,0,97.14,100,100,,0.13,0.16,6.2755,0.17
,14-Mar-23,99.5,99.47,0.35,3746.08,130.7,99.63,0,6.36,,0,96.55,100,100,,0.01,0.01,4.958,0.14
,15-Mar-23,99.47,100,0.24,4314.98,447.64,100,0,6.64,,,100,100,,,0,0,5.8923,0.06
,16-Mar-23,100,100,0,3472.81,385.75,100,0,6.08,,0,100,100,100,,0,0.01,4.5607,0.17
,17-Mar-23,99.53,99.48,0,6356.91,538.84,100,0,7.12,,0,97.37,100,,,0.02,0.07,4.9327,0.14
CH_ZQ_T1_OM_MANI22A_A,13-Mar-23,99.89,99.87,0,6986.81,697.61,99.61,0,8.76,,0,93.13,100,100,100,0,0.19,17.3352,0.88
,14-Mar-23,99.84,99.9,0.09,7517.27,725.69,100,0,8.84,,0,98.55,100,100,100,0.09,0.02,10.7344,0.86
,15-Mar-23,99.87,100,0,7249.12,642.65,100,0,9.2,,0,96.04,100,100,,0.02,0,13.0804,0.99
,16-Mar-23,100,100,0.12,8038.94,894.32,100,0,8.61,,0,80.65,100,100,,0.06,0.03,9.0448,0.44
,17-Mar-23,100,99.57,0,11749.57,1573.48,100,0,9.08,,0,97.87,100,100,,0.02,0,11.5258,0.5
CH_ZQ_T1_OM_MANI22B_B,13-Mar-23,100,99.93,0,5644.68,1093.12,97.63,0,8.39,,0,100,100,100,,0.22,0.02,22.1891,1.24
,14-Mar-23,100,99.95,0,9985.59,1070.95,100,0,8.42,,0,100,100,100,100,0,0,20.5853,1.81
,15-Mar-23,99.92,99.91,0,5586.31,1172.89,99.48,0,7.76,,0,100,100,100,,0,0.01,17.7247,1.76
,16-Mar-23,100,100,0,5999.96,924.54,99.71,0,8.55,,0,99.61,100,,,0.01,0,22.1782,1.87
,17-Mar-23,99.92,99.92,0,3747.54,677.83,99.36,0,8.19,,0,100,100,100,100,0.2,0.04,17.7639,1.06
CH_ZQ_T1_OM_MANI22C_C,13-Mar-23,100,99.89,0.04,4472.43,226.5,98,0,8.72,,0,98.92,100,100,,0.04,0.3,43.9582,1.75
,14-Mar-23,100,99.96,0,4886.36,650.4,99.93,0,8.51,,0,99.89,100,100,,0.07,0.06,45.9199,1.73
,15-Mar-23,100,99.97,0,4495.13,698.1,100,0,8.25,,0,99.51,100,100,,0,0.01,45.1697,2.1
,16-Mar-23,100,99.93,0.06,4845.62,711.56,99.91,0,8.39,,0,98.42,100,100,,0,0,44.9749,2.5
,17-Mar-23,99.97,99.97,0.02,5344.77,866.61,99.87,0,8.67,,0,98.92,100,100,,0,0,46.2027,1.69
CH_ZQ_T1_OM_MANI22D_D,13-Mar-23,100,99.8,0,5664.23,744.81,95.9,0,8.23,,0,94.05,100,100,,0.16,0.01,8.7627,0.39
,14-Mar-23,100,99.62,0,6380.5,716,99.62,0,8.37,,0,100,100,100,100,0.01,0.02,10.8014,0.49
,15-Mar-23,100,99.82,0,5835,949.39,100,0,8.68,,0,82,100,100,,0,0,12.1528,0.7
,16-Mar-23,99.79,99.89,0.12,6937.41,829.29,99.05,0,8.96,,0,96.3,100,100,,0.01,0,8.4186,0.43
,17-Mar-23,99.66,100,0,6842.08,2938.1,100,0,8.54,,0,100,100,100,,0.33,0.03,11.9623,0.49
CH_ZQ_T1_OM_PATT30A_A,13-Mar-23,92.17,94.44,0.22,4690.27,21.78,98.9,0,6.85,,0,100,100,100,,0.28,3.29,1.5157,0.32
,14-Mar-23,94.33,99.63,0,1162.84,91.88,99.6,0,5.18,,0,100,100,100,,0.16,1.55,8.2086,2.94
,15-Mar-23,99.8,100,0,1325.36,303.07,100,0,5.18,,0,100,100,100,,0.12,0.34,16.0768,6.82
,16-Mar-23,99.54,99.63,0,1651.65,137.7,99.07,0,5.22,,0,98.42,98.61,100,100,0.17,0.45,19.5614,9.44
,17-Mar-23,100,100,0,7346.86,802.05,100,0,7.64,,0,100,100,100,,0.15,0.14,15.6236,2.89
CH_ZQ_T1_OM_PATT30B_B,13-Mar-23,92.19,94.66,0.15,4744.43,36.89,93.78,0,8.51,,0,96.83,100,100,,0.29,1.59,4.3513,0.92
,14-Mar-23,99.67,99.45,0,3207.46,82.53,95.31,0,7.62,,0,100,74.19,100,,0.01,0.34,15.0953,4.13
,15-Mar-23,99.97,99.94,0,2911.41,314.13,98.68,0,8.41,,0,99.32,100,100,,0.01,0.04,51.1569,11
,16-Mar-23,100,99.89,0.03,2436.67,433.55,97.98,0,8.03,,0,98.95,100,96.67,,0.04,0.09,77.1288,26.7
,17-Mar-23,99.96,99.98,0.01,2835.24,417.15,97.68,0,8.41,,0,99.72,100,100,,0.02,0.72,78.9834,22.04
CH_ZQ_T1_OM_PATT30B_M,13-Mar-23,94.51,95.36,0.17,1817.06,15.93,99.09,0,6.47,,0,99.31,100,100,100,0.04,2.91,2.8347,0.91
,14-Mar-23,98.7,98.41,0.06,684.47,41.46,98.17,0,5.04,,3.23,97.99,100,98.1,100,0.12,0.51,14.2511,6.89
,15-Mar-23,99.47,99.97,0,878.54,130.38,99.43,0,5.23,,0,100,100,98.73,100,0.07,0.57,28.7613,20.88
,16-Mar-23,99.98,99.95,0.05,2108.04,203.95,99.08,0,6.39,,0,100,100,100,100,0.05,0.57,31.7418,27.91
,17-Mar-23,99.9,99.94,0,2356.57,222.84,97.57,0,7.14,,0,100,100,100,100,0.08,2.41,16.6275,10.15
CH_ZQ_T1_OM_PATT30C_C,13-Mar-23,92.77,95.17,0.15,6228.72,18.91,100,0,9.37,,0,100,100,100,,0.31,0.7,1.2367,0.31
,14-Mar-23,99.66,73.71,0,5921.34,356.33,99.19,0,8.67,,0,100,100,100,,0,0.02,8.7322,1.77
,15-Mar-23,99.98,99.85,0,3251.11,193.69,99.33,0,7.98,,0,100,100,100,,0.01,0.12,35.0918,7.02
,16-Mar-23,99.98,99.9,0,4611.78,303.39,99.57,0,8.45,,0,100,100,100,,0.02,0.04,55.6692,11.83
,17-Mar-23,99.97,99.97,0.02,4112.91,448.52,100,0,9.31,,0,99.38,100,100,,0.01,0.02,57.0822,12.53
CH_ZQ_T1_OM_PATT30D_D,13-Mar-23,88.8,91.43,0.2,2354.73,9.32,99.41,0,7.16,,0,97.44,97.18,100,100,0.5,25.07,0.7733,0.55
,14-Mar-23,98.71,98.01,0.07,3611.41,29.07,96.3,0,7.79,,2.17,97.67,100,85.71,100,0.59,1.92,15.8499,6.65
,15-Mar-23,99.93,99.92,0.01,2121.62,167.24,99.52,0,7.85,,0,100,100,94.74,100,0.08,0.52,46.623,20.21
,16-Mar-23,99.94,99.9,0.01,4128.05,196.62,98.27,0,7.96,,0,99.87,100,94.12,100,0.06,0.79,57.911,23.47
,17-Mar-23,99.95,99.92,0.01,2801.25,143.62,99.31,0,7.74,,0,99.41,100,100,100,0.05,0.6,55.5889,21.65
CH_ZQ_T1_OM_RICHI8A_A,13-Mar-23,98.26,99.5,0.68,4778.26,79.05,99.78,0,9.55,,2.38,74.68,100,100,100,0.16,0.15,18.1239,1.77
,14-Mar-23,99.45,99.72,0.79,4952.69,152.96,99.8,0,9.4,,4.08,75.55,100,100,,0.01,0.22,18.592,2.11
,15-Mar-23,99.62,99.79,0.75,4978.71,138.55,99.11,0,9.48,,0,72.95,100,100,,0.11,0.14,19.3784,2.43
,16-Mar-23,99.63,99.69,0.64,5029.35,150.96,100,0,9.34,,2.22,74.59,100,100,100,0.06,0.02,19.2981,1.78
,17-Mar-23,99.98,99.91,0.48,4446.35,287.61,99.71,0,9.72,,5.88,77.54,100,100,,0.01,0.08,19.3853,2.64
CH_ZQ_T1_OM_RICHI8B_B,13-Mar-23,99.56,100,0.24,17964.01,925.73,100,0,10.93,,0,85.71,100,100,,0.05,1.23,5.5715,0.49
,14-Mar-23,98.29,99.89,0.72,10300.61,252.45,99.09,0,9.78,,0,69.66,100,100,,0.14,2.21,4.981,0.39
,15-Mar-23,99.52,100,0,11535.92,767.19,100,0,10.67,,7.14,100,100,100,,0.09,0.2,7.5841,0.33
,16-Mar-23,99.27,99.33,0.61,6374.99,177.12,99.33,0,9.78,,0,55.5,100,100,,0,0.48,4.9165,0.31
,17-Mar-23,100,100,0,9368.6,483.98,100,0,10.38,,0,100,100,100,,0.05,0.01,6.2886,0.64
CH_ZQ_T1_OM_RICHI8C_C,13-Mar-23,99.91,99.89,0.25,10181.53,296.97,100,0,10.26,,2.63,78.32,100,,,0.03,0.11,24.316,3.28
,14-Mar-23,99.85,99.81,0.2,11909.16,537.34,99.62,0,10.45,,0,75.09,100,,,0,0,23.7521,4.31
,15-Mar-23,99.91,99.88,0.14,10659.86,338.98,99.17,0,10.29,,0,75.04,100,100,,0.01,0,22.1853,5.49
,16-Mar-23,99.87,99.78,0.11,13766.38,378.46,99.6,0,10.4,,1.33,76.77,100,100,,0.06,0,26.615,4.24
,17-Mar-23,99.9,99.81,0.25,12533.41,358.17,100,0,10.09,,0,76.52,100,100,,0.01,0.03,23.7521,2.81
CH_ZQ_T1_OM_RICHI8C_N,13-Mar-23,99.88,100,0,9446.39,528.43,99.32,0,8.09,,0,85.32,100,100,,0,0.01,9.3831,1.56
,14-Mar-23,99.75,99.85,0.16,12683.22,865.88,100,0,9.72,,0,93.02,100,100,,0,0.01,8.1997,2.05
,15-Mar-23,99.65,100,0.21,9916.34,743.4,97.56,0,10,,0,85.71,100,100,,0.01,0.02,9.7154,1.15
,16-Mar-23,99.78,99.83,0.15,8409.15,768.55,99.32,0,8.68,,10,88.43,100,100,100,0.02,0.07,7.8404,0.99
