Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH]
CH_ZQ_T1_IM_MATHU5C_N,03-Apr-23,100,100,0,8297.26,494.54,,,7.39,-116.35,0,,100,,,0.1,0.07,7.9546,1.49,40.69
,04-Apr-23,100,100,0,3205.85,325.38,,,7.55,-116.57,0,,100,,,0.04,0.02,9.0144,2.86,46.06
,05-Apr-23,100,100,0,5525.87,336.41,,,7.17,-115.91,0,,100,,,0.18,0.01,6.2009,1.65,24.24
,06-Apr-23,100,100,0,6068.21,151.02,,,7.28,-114.59,0,,100,,,0.49,0.03,6.3487,2.67,28.9
,07-Apr-23,100,100,0,2176.31,212.35,,,5.72,-112.09,0,,100,,,0.52,0.01,6.5851,1.4,55.42
CH_ZQ_T1_IM_PATT27B_M,03-Apr-23,100,100,0,2059.29,126.59,,,5.72,-110.66,0,,100,,,0.22,0.13,12.1498,4.36,65.3
,04-Apr-23,100,100,0,2097.61,124.38,,,5.49,-112.68,0,,100,,,0.15,0.09,12.3129,5.33,66.65
,05-Apr-23,99.85,100,0,1959.9,90.67,,,6.02,-111.28,0,,100,,,0.39,0.23,12.7464,6.23,70.7
,06-Apr-23,99.75,100,0,5567.31,208.84,,,6.75,-109.3,0,,100,,,0.12,0.02,10.6153,5.66,38.11
,07-Apr-23,100,100,0,3145.67,119.91,,,6.19,-106.23,0,,100,,,0.49,3.49,11.7125,6.85,50.52
CH_ZQ_T1_OM_CHRMR4B_B,03-Apr-23,99.49,99.82,0.02,1542.55,108.6,,,7.08,-112.24,0,,99.5,,,2.03,0.25,30.6245,27.19,85.54
,04-Apr-23,99.89,99.97,0.04,1507.04,197.23,,,6.83,-113.31,1.98,,100,,,1.36,1.24,26.3204,17.73,85.25
,05-Apr-23,99.78,99.91,0.04,2380.66,156.96,,,7.06,-112.74,0.92,100,100,,,1.62,0.31,29.0224,25.56,77.88
,06-Apr-23,99.33,99.27,0.01,918.09,63.24,,,6.31,-110.74,0.76,,99.35,,,2.36,0.34,25.2241,28.48,86.16
,07-Apr-23,99.21,99.51,0.05,887.45,64.05,,,6.14,-108.29,0,,99.45,,,2.55,0.59,25.8067,20.71,85.93
CH_ZQ_T1_OM_CHRMR4C_C,03-Apr-23,99.98,99.96,0.01,2608.12,186.73,,,8.94,-112.67,0,,99.83,,,0.31,0.93,38.1965,90.22,79.77
,04-Apr-23,99.88,99.92,0,3057.54,299.9,,,9.34,-113.1,0.23,,99.78,,,0.69,0.34,44.5033,85.55,82.76
,05-Apr-23,99.91,99.88,0,2202.96,188.49,,,8.28,-112.71,0.3,,100,,,0.93,1.91,43.6438,98.19,91.5
,06-Apr-23,99.34,99.71,0.01,4244.96,66.09,,,8.93,-112.07,0.22,,99.79,,,0.4,0.75,41.9253,95.45,62.43
,07-Apr-23,99.97,99.89,0.01,2165.3,105.11,,,8.32,-110.85,0,,99.85,,,0.51,2.58,47.0464,82.81,82.88
CH_ZQ_T1_OM_JEWEL6D_D,03-Apr-23,,,,,,,,,,,,,,,,,,,
,04-Apr-23,,,,,,,,,,,,,,,,,,,
,05-Apr-23,,,,,,,,,,,,,,,,,,,
,06-Apr-23,,,,,,,,,,,,,,,,,,,
,07-Apr-23,,,,,,,,,,,,,,,,,,,
CH_ZQ_T1_OM_MOGWE4D_D,03-Apr-23,99.88,99.86,0,1366.07,208.95,100,,7.03,-113.66,0,100,100,100,,0.34,0.47,9.9056,2.87,93.64
,04-Apr-23,99.78,99.88,0,1949.26,292.98,100,,6.53,-114.43,0,100,100,100,,0.09,0.05,12.5966,3.21,74.75
,05-Apr-23,99.89,100,0.05,1986.87,205.85,100,,6.56,-113.71,0,100,100,100,,0.61,0.44,10.0771,4.06,72.5
,06-Apr-23,100,99.9,0,2995.48,174.11,99.85,,6.87,-112.11,0,100,100,100,,0.08,3.97,12.384,3.11,78.34
,07-Apr-23,99.91,100,0.05,2114.62,302.96,100,,6.92,-109.27,0,100,100,100,,0.63,0.13,12.0396,5.13,74.16
CH_ZQ_T1_OM_OTTE13B_M,03-Apr-23,100,100,0,13204.33,488.95,100,0,8.6,-117.94,0,97.62,100,100,,0.03,0,11.4869,0.19,22.68
,04-Apr-23,100,99.85,0,19528.76,1144.74,100,,9.06,-117.54,0,100,100,,,0,0,10.322,0.5,15.3
,05-Apr-23,100,100,0,14437.96,511.31,100,0,8.63,-117.79,0,100,100,100,,0.2,0,9.5513,0.1,19.49
,06-Apr-23,100,100,0,13102.46,4662.42,100,0,8.66,-117.32,0,100,100,,,0,0,7.7207,0.14,9.49
,07-Apr-23,100,100,0,11234.16,762.81,100,,9.05,-117.03,0,97.92,100,,,0,0,10.0438,1.4,26.92
CH_ZQ_T1_OM_REDHI2D_D,03-Apr-23,99.86,99.93,0,3435.88,1072.65,,,7.5,-112.71,0.83,,100,100,,2.81,1.36,28.5629,27.2,49.39
,04-Apr-23,99.95,99.95,0,1686.09,91.3,,,7.07,-111.82,0,,99.23,,,0.45,0.62,24.3734,28.92,77.37
,05-Apr-23,100,99.93,0,1835.63,587.24,,,6.91,-111.31,0,,99,,,5.47,2.85,29.3739,22.83,77.05
,06-Apr-23,99.87,99.86,0,1748.2,126.64,,,7.26,-109.08,0,,100,,,0.4,0.29,19.2227,27.46,75.84
,07-Apr-23,99.96,99.9,0,2493.39,208.11,,,7.06,-104.98,1.5,,100,,,1.33,1.96,17.7263,18.13,77.87
CH_ZQ_T1_OM_SWELL2A_L,03-Apr-23,99.91,99.83,0.2,5104.02,275.12,99.39,,8.65,-114.85,0,92.28,100,100,,0,0,25.2693,1.65,84.73
,04-Apr-23,99.87,99.86,0.02,6443.74,331.83,100,,8.33,-113.83,0,93.18,100,100,,0.01,0.03,26.9851,2.46,61.16
,05-Apr-23,100,99.97,0.11,6969.3,566.55,100,,9.25,-113.35,0,92.76,100,100,100,0,0.01,28.0957,2.4,59.93
,06-Apr-23,99.82,99.81,0.25,5308.07,357.88,100,,8.45,-112.99,0,90.83,99.14,100,,0.04,0.95,22.9045,1.59,58.4
,07-Apr-23,100,99.85,0.06,11369.51,552.76,100,,9.43,-111.3,0,90.09,100,100,100,0,0.1,27.4464,1.98,38.9
CH_ZQ_T1_OM_TARA30B_M,03-Apr-23,99.82,100,0.05,1651.46,215.73,99.59,,5.95,-112.96,0,100,100,100,,0.09,0.1,17.8828,6.56,88.23
,04-Apr-23,99.85,100,0,1269.2,111.12,99.8,,5.96,-112.79,0,99.08,100,100,,0.2,0.57,16.1057,6.21,86.5
,05-Apr-23,99.9,100,0,2223.41,242.15,99.91,,5.4,-112.49,2.86,93.33,100,100,,2.29,0.39,16.7814,4.92,83.38
,06-Apr-23,100,100,0,4345.58,314.41,99.86,,6.84,-110.84,0,100,100,100,,0.35,0.27,14.4955,5.9,57.95
,07-Apr-23,100,99.82,0,1562.96,67.73,100,,6.24,-108.87,0,100,100,100,,0.13,0.58,13.1823,7.33,81.71
CH_ZQ_T1_OM_TIRMZ2C_N,03-Apr-23,100,99.76,0,2067.92,179.5,,,6.58,-114.84,0,,100,,,0.39,0.29,16.3199,7.98,63.48
,04-Apr-23,100,100,0,3442.35,168.85,,,6.22,-113.91,0,,100,,,0.28,0.05,12.852,5.46,72.28
,05-Apr-23,100,99.67,0,1174.94,185.61,,,6.23,-115.01,0,,100,,,0.73,0.3,19.2724,9.2,70.36
,06-Apr-23,100,99.1,0,2728.07,120.08,,,6.89,-113.33,3.33,,100,,,0.42,1.45,17.9561,8.81,48.3
,07-Apr-23,98.48,99.44,0.13,3500.44,112.72,,,7.83,-111.36,0,,100,,,0.23,0.08,19.3997,6.21,60.76
CH_ZQ_T1_OM_TVTY24C_N,03-Apr-23,100,100,0.08,7552.5,749.7,98.99,,8.58,-116.46,0,100,100,100,,0.02,0.02,23.9773,0.51,51.93
,04-Apr-23,100,99.93,0.26,4300.73,456.63,100,,7.99,-116.29,0,100,100,100,,0.08,0.01,24.6457,1.23,57.63
,05-Apr-23,100,99.27,0.36,5514.55,635.32,98.72,,8.62,-115.86,0,100,100,100,,0.01,0.04,27.1836,0.62,58.24
,06-Apr-23,100,100,0.8,3545.11,319.84,100,,7.95,-115.04,0,100,100,100,,0.03,0.07,22.5655,1.16,67.84
,07-Apr-23,100,99.92,0.04,4524.47,676.61,100,,7.63,-113.58,0,100,100,100,,0.03,0.06,24.7599,0.55,53.32
CH_ZQ_T1_OM_VADAP9C_N,03-Apr-23,100,99.23,0,1988.27,473.29,98.86,,6.48,-115.36,0,99.07,100,100,,0.39,0.13,8.8439,5.34,74.76
,04-Apr-23,99.72,100,0,3510.68,2024.05,99.12,,6.33,-115.45,0,100,100,100,,0.53,0.24,6.9548,3.14,48.99
,05-Apr-23,100,100,0,2269.98,821.78,99.27,,6.38,-115.11,0,100,100,100,,0.31,0.04,9.3888,5.13,72.47
,06-Apr-23,100,99.64,0,2821.52,833.7,99.73,,6.64,-114.55,0,99.06,100,100,,0.24,0.06,8.2092,4.65,67.54
,07-Apr-23,100,100,0,3288.28,1819.02,99,,6.42,-113.51,0,100,100,100,,0.12,0,6.1634,3.28,50.57
CH_ZQ_T1_OM_VELC15D_D,03-Apr-23,,,,,,,,,,,,,,,,,,,
,04-Apr-23,,,,,,,,,,,,,,,,,,,
,05-Apr-23,,,,,,,,,,,,,,,,,,,
,06-Apr-23,,,,,,,,,,,,,,,,,,,
,07-Apr-23,,,,,,,,,,,,,,,,,,,
CH_ZQ_T2_IM_MATHU5C_N,03-Apr-23,99.97,100,0,2232.32,332.43,,,7.19,-109.36,0,,100,,,0.19,0.04,60.2784,43.56,86.27
,04-Apr-23,99.93,99.95,0,3191.83,490.48,,,7.36,-112.05,0,,100,,,0.1,0.07,55.4008,39.39,77.7
,05-Apr-23,99.97,99.85,0,2679.59,304.6,,,7.8,-109.26,0,,100,,,0.23,0.07,52.9051,45.3,81.99
,06-Apr-23,100,99.95,0,3521.22,865.68,,,7.55,-108.3,0,,100,,,0.97,0.09,58.2958,47.6,67.92
,07-Apr-23,100,100,0,4398.81,472.95,,,7.55,-107.1,0,,100,,,0.39,0.18,63.177,36.32,74.5
CH_ZQ_T2_IM_PATT27B_M,03-Apr-23,99.94,99.96,0,1656.11,206.25,,,6.05,-108.17,0,,100,,,0.07,0.21,51.6729,48.08,87.83
,04-Apr-23,100,100,0,1069.67,157.9,,,6.31,-109.97,0,,100,,,3.16,1,61.4346,50.04,98.81
,05-Apr-23,99.74,99.76,0,1458.44,109.32,,,6.15,-108.95,0,,100,,,0.55,0.09,63.7242,55.58,88.83
,06-Apr-23,99.95,99.84,0.01,2053.95,173.63,,,7.44,-107.07,0.46,,100,,,2.43,0.47,63.0615,74.93,93.91
,07-Apr-23,99.83,99.79,0,949.47,205.82,,,6.83,-104.31,0,,99.71,,,1.37,0.17,81.1491,90.44,97.07
CH_ZQ_T2_OM_CHRMR4B_B,03-Apr-23,99.93,99.95,0.02,964.68,149.19,,,6.9,-109.23,0.29,,99.23,,,1.61,1.79,75.0478,114.55,97.89
,04-Apr-23,99.88,100,0,1209.43,311.77,,,7.16,-109.88,0.49,,99.29,,,1.39,1.39,83.0828,96.32,97.98
,05-Apr-23,99.8,99.89,0.06,870.08,142.25,,,6.68,-109.44,0.17,,99.55,,,1.85,0.85,77.3586,107.43,97.62
,06-Apr-23,99.96,99.88,0.01,1214.02,114.94,,,6.28,-107.78,0.44,,99.36,,,3.17,1.82,71.8668,100.95,95.57
,07-Apr-23,99.89,99.72,0.01,1454.55,181.96,,,6.77,-105.84,0.17,,99.09,,,1.53,1.68,78.4122,91.82,96.52
CH_ZQ_T2_OM_CHRMR4C_C,03-Apr-23,99.92,99.96,0.01,1764.66,142.89,,,7.7,-110.23,0,,99.87,,,0.61,1.32,82.5471,258.83,88.68
,04-Apr-23,99.96,99.93,0,2895.46,306.78,,,8.37,-110.27,0,,100,,,0.58,5.76,87.5119,246.9,94.67
,05-Apr-23,99.98,100,0.02,3185.41,299.5,,,8.52,-109.76,0,,99.84,,,0.47,0.99,83.4284,256.27,92.11
,06-Apr-23,99.96,99.9,0,3548.69,366.56,,,8.57,-109.42,0,,99.87,,,0.46,1.72,82.4755,263.1,91.16
,07-Apr-23,99.8,99.82,0.01,3614.83,181.79,,,8.28,-108.35,0.08,,99.78,,,0.45,1.47,73.1405,230.79,92.74
CH_ZQ_T2_OM_JEWEL6D_D,03-Apr-23,,,,,,,,,,,,,,,,,,,
,04-Apr-23,,,,,,,,,,,,,,,,,,,
,05-Apr-23,,,,,,,,,,,,,,,,,,,
,06-Apr-23,,,,,,,,,,,,,,,,,,,
,07-Apr-23,,,,,,,,,,,,,,,,,,,
CH_ZQ_T2_OM_MOGWE4D_D,03-Apr-23,99.98,99.94,0,1434.07,160.44,99.87,,6.88,-109.69,0,99.81,100,100,,0.04,0.16,62.2659,54.69,93.89
,04-Apr-23,99.98,99.96,0,3204.17,300.78,100,,6.94,-110.02,0.43,99.76,100,100,,0.08,0.14,61.5818,47.64,77.84
,05-Apr-23,99.98,99.85,0.01,1493.9,134.63,99.94,,6.72,-109.05,0,99.81,100,100,,0.32,0.28,63.3372,57.05,92.29
,06-Apr-23,99.98,100,0.01,2320.92,200.63,99.84,,6.9,-108.18,0,99.71,100,100,,0.34,0.57,59.5766,53.05,84.79
,07-Apr-23,100,99.97,0,2010.97,159.42,100,,6.98,-106.39,0.55,99.93,100,100,,0.15,0.17,63.1144,60.2,91.17
CH_ZQ_T2_OM_OTTE13B_M,03-Apr-23,100,100,0.03,9256.62,875.42,100,0,7.57,-114.39,0,100,100,100,,0,0,52.8596,2.37,47.61
,04-Apr-23,100,99.94,0,8423.1,1120.97,99.19,0,8.23,-114.44,0,99.71,100,100,,0.01,0.01,57.4209,2.68,62.33
,05-Apr-23,100,99.95,0,12294.3,1165.26,99.48,0,8.1,-114.56,0,99.05,100,100,,0.02,0.02,50.2372,1.39,36.58
,06-Apr-23,99.95,100,0,11508.65,843.13,100,0,7.83,-113.99,0,99.67,100,100,,0.02,0.02,67.7729,1.58,62.37
,07-Apr-23,99.95,99.97,0,9342.46,1150.08,99.51,0,8.3,-113.58,0,100,100,100,,0,0.03,77.8548,2.17,62.52
CH_ZQ_T2_OM_REDHI2D_D,03-Apr-23,99.9,99.95,0,1680.35,188.27,,,7.33,-109.23,0.34,,100,,,0.48,1.23,66.8646,96.1,92.36
,04-Apr-23,99.98,99.93,0,1383.26,166.28,,,7.01,-108.31,0,,100,,,0.32,0.42,61.929,72.01,96.51
,05-Apr-23,99.98,99.99,0,1562.91,119.03,,,6.9,-108.26,0,,99.74,,,0.39,0.29,70.9686,76.98,94.83
,06-Apr-23,99.96,99.95,0,1638.98,182.66,,,7.25,-106.21,0,,100,,,0.13,0.4,51.3896,75.48,89.63
,07-Apr-23,100,99.96,0,1571.28,173.18,,,6.9,-103.44,0,,99.73,,,0.5,0.6,37.388,58.75,88.27
CH_ZQ_T2_OM_SWELL2A_L,03-Apr-23,99.94,99.63,0.1,3381.24,429.24,98.94,,7.38,-109.97,2.3,90.14,100,100,,0.03,0.03,104.451,6.47,95.07
,04-Apr-23,99.97,99.91,0,6629.22,688.07,100,,7.72,-109.47,0,93.18,100,100,,0.2,1.65,113.7405,5.48,79.41
,05-Apr-23,99.97,99.78,0.07,4006.47,361.58,99.76,,7.29,-108.94,0,91.1,100,100,,0.13,0.2,112.2962,5.48,93.52
,06-Apr-23,99.95,99.87,0.05,5556.63,560.22,99.88,,7.81,-108.39,1.23,91.31,100,100,,0.05,0.17,117.7285,7.4,80.66
,07-Apr-23,99.89,99.86,0.06,4037.97,337.74,100,,7.49,-107.55,2.99,93.29,100,100,,0.02,0.12,121.4475,4.73,92.1
CH_ZQ_T2_OM_TARA30B_M,03-Apr-23,99.92,99.9,0,1648.52,333.69,100,,6.29,-108.74,0,100,100,100,,0.12,0.23,87.4203,60.82,94.32
,04-Apr-23,99.93,99.93,0,1906.33,482.75,99.73,,6.54,-108.98,0,100,100,100,,0.45,0.36,91.6182,61.02,98.06
,05-Apr-23,99.95,99.97,0,5054.11,840.83,100,,7.65,-109.2,0,100,100,100,,0.11,0.38,87.3387,54.34,74.83
,06-Apr-23,99.95,99.93,0,5977.24,504.86,98.98,,7.76,-107.64,0,99.41,100,100,,0.24,0.67,81.8631,57.81,70.6
,07-Apr-23,99.94,99.91,0.01,3943.14,349.31,99.81,,6.91,-106.58,0,100,100,100,,0.13,0.42,71.2498,57.94,87.85
CH_ZQ_T2_OM_TIRMZ2C_N,03-Apr-23,99.97,99.91,0,695.57,141.17,,,7.74,-112.03,0,,100,,,0.28,0.19,107.9806,173.84,97.11
,04-Apr-23,100,99.9,0.02,785.04,173.03,,,7.68,-111.72,0,,99.82,,,0.47,0.36,62.5082,98.66,98.72
,05-Apr-23,99.67,99.83,0,784.86,297.58,,,7.79,-112.18,0,,100,,,0.45,0.47,113.3403,193.1,98.46
,06-Apr-23,100,99.93,0,8991.87,444.3,,,9.34,-110.73,0,,100,,,0.37,0.16,106.0264,197.26,58.11
,07-Apr-23,99.97,99.84,0,817.39,76.1,,,8.1,-109.36,0,,100,,,0.27,0.22,111.1732,173.99,95.72
CH_ZQ_T2_OM_TVTY24C_N,03-Apr-23,99.96,99.94,0.04,6420.64,687.02,99.55,,7.76,-114,0,99.58,100,100,,0.16,0.01,71.631,3.71,65.01
,04-Apr-23,100,99.82,0.21,6113.41,486.31,100,,7.91,-113.64,0,100,100,100,,0.04,0.02,78.5655,4.91,72.21
,05-Apr-23,100,99.84,0.12,6198.42,546.75,99.12,,7.96,-113.47,0,100,99.46,100,,0.02,0.01,75.7224,3.69,63.75
,06-Apr-23,99.96,99.93,0.16,5256.61,392.75,98.48,,7.57,-112.98,0,100,100,100,,0.05,0.24,71.3929,3.74,74.46
,07-Apr-23,99.95,99.97,0.14,7896.29,674.46,99.21,,8.03,-111.95,6.67,99.31,100,100,,0.04,0.02,80.3965,3.11,66.48
CH_ZQ_T2_OM_VADAP9C_N,03-Apr-23,99.91,99.91,0.01,1811.38,234.07,99.71,,6.83,-110.74,0,99.72,100,100,,0.08,0.04,66.6904,76.03,91
,04-Apr-23,99.94,99.92,0,2734.59,1434.85,99.47,,6.75,-111,0,99.54,100,99.63,,0.12,0.09,66.3413,55.18,83.81
,05-Apr-23,99.92,99.97,0.01,2130.97,271.11,99.75,,6.77,-110.5,0,99.44,100,99.69,,0.1,0.05,73.12,81.43,88.27
,06-Apr-23,99.91,99.92,0,2897.83,415.49,99.73,,6.84,-110.01,0,99.64,99.64,100,,0.15,0.19,70.2229,70.49,84.29
,07-Apr-23,99.85,99.91,0,2829.3,449.87,99.78,,6.82,-109.58,0,99.66,100,100,,0.12,0.09,54.3197,56.33,77.58
CH_ZQ_T2_OM_VELC15D_D,03-Apr-23,,,,,,,,,,,,,,,,,,,
,04-Apr-23,,,,,,,,,,,,,,,,,,,
,05-Apr-23,,,,,,,,,,,,,,,,,,,
,06-Apr-23,,,,,,,,,,,,,,,,,,,
,07-Apr-23,,,,,,,,,,,,,,,,,,,
TN_ZQ_T1_IM_PERUN3A_L,03-Apr-23,100,99.82,0,6659.69,208.24,,,7.24,-117.12,0,,100,,,0.01,0.02,5.9826,5,34.83
,04-Apr-23,100,100,0,1339.97,83.43,,,8.38,-117.17,0,,100,,,0.33,0.19,3.1889,1.73,65.6
,05-Apr-23,100,97.83,0,3346.86,558.16,,,7.28,-116.94,0,,100,,,0.16,0.04,4.5435,3.79,48.24
,06-Apr-23,100,100,0,10614.12,319.95,,,8.1,-116.79,0,,100,,,0.72,0.04,3.6813,2.36,19.12
,07-Apr-23,100,100,0,5399.22,2732.85,,,7.35,-116.79,0,,100,,,0.47,0.07,3.0571,1.87,12.58
TN_ZQ_T2_IM_PERUN3A_L,03-Apr-23,99.97,99.94,0.01,2475.03,315.46,,,8.36,-112.13,0.41,,99.81,,,0.3,0.18,83.7134,99.46,95.64
,04-Apr-23,100,99.82,0.01,2258.39,637.27,,,8.53,-111.4,0.21,,100,,,0.43,0.22,91.8051,98.97,96.11
,05-Apr-23,99.98,99.98,0.01,3615.52,416.38,,,8.36,-111.77,0.28,,100,,,0.55,0.22,93.4874,109.44,89.38
,06-Apr-23,99.98,100,0.01,5332.27,343.63,,,8.79,-110.78,0.95,,99.78,,,0.66,0.33,89.7868,104.84,76.68
,07-Apr-23,100,99.93,0.01,2332.59,213.49,,,8.46,-111.7,0,,100,,,0.38,0.27,81.1369,93.17,93.19
