Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH],PS handover success rate_Nom [LTE Intra System] [CDBH],PS handover success rate_Denom [LTE Intra System] [CDBH],PS handover success rate_Nom [LTE Inter System] [CDBH],PS handover success rate_Denom [LTE Inter System] [CDBH],VoLTE DCR_Nom [CBBH],PS Drop Call Rate_Nom [CDBH],VoLTE ERAB Setup Success Rate_NOM [CBBH],VoLTE ERAB Setup Success Rate_Denom [CBBH],VoLTE IntraF HOSR Exec_Nom [CBBH],VoLTE IntraF HOSR Exec_Denom [CBBH],VoLTE InterF HOSR Exec_Nom [CBBH],VoLTE InterF HOSR Exec_Denom [CBBH],VoLTE DCR_Denom [CBBH],PS Drop Call Rate_Denom [CDBH]
,26-Apr-23,99.9,100,0.1,10174.02,712.03,100,0,6.83,,8.33,100,100,80,,0.03,0.01,27.7478,3.6,31.84,-114.94,0,,,,,,,,,,,0,,,
,27-Apr-23,100,99.88,0.14,24323.69,773.86,94.81,0,7.05,,0,99.34,100,100,,0.11,0.02,17.6521,1.02,32.46,-114.91,0,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH_ZQ_T2_OM_BELLS6A_L,24-Apr-23,100,99.84,0.28,11006.05,359.66,98.89,0,8.4,,0,100,100,100,,0.03,0.08,10.3842,5.35,27.18,-112.35,0,,,,,,,,,,,0,,,
,25-Apr-23,99.88,99.97,0.1,13473.14,782.26,100,0,8.67,,0,94.83,100,100,,0.02,0.21,25.9744,7.32,22.28,-113.24,0,,,,,,,,,,,0,,,
,26-Apr-23,100,99.92,0.04,16004.8,867.96,100,,9.47,,0,100,100,100,,0.02,0.03,21.8134,9.31,15.87,-113.15,,,,,,,,,,,,0,,,
,27-Apr-23,99.85,99.96,0.38,11073.84,440.88,99.77,0,8.46,,0,97.7,100,,,0,0.01,7.6109,1.73,12.98,-113.54,0,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH_ZQ_T2_OM_BELLS6B_B,24-Apr-23,99.93,99.94,0.07,11922.25,451.69,100,0,8.32,,0,97.6,93.84,100,,0.07,0.05,20.3536,3.51,42.48,-111.68,0,,,,,,,,,,,0,,,
,25-Apr-23,99.97,99.79,0.09,8617.2,589.3,100,0,7.99,,3.57,98.62,100,100,,0.04,0.08,40.0822,10.9,43.58,-112.89,0,,,,,,,,,,,0,,,
,26-Apr-23,100,99.92,0.11,9009.31,317.4,100,0,8.01,,0,98.92,100,100,,0.04,0.61,46.1351,7.55,56.95,-112.16,0,,,,,,,,,,,0,,,
,27-Apr-23,100,100,0.06,12757.62,796.2,100,0,8.51,,0,98.86,100,100,,0.13,0.02,17.8753,3.04,25.92,-112.68,0,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH_ZQ_T2_OM_BELLS6C_C,24-Apr-23,99.93,99.98,0.22,7503.2,451.6,99.22,0,7.53,,0,99.45,100,100,,0.03,0.18,25.1875,5.85,62.69,-110.84,0,,,,,,,,,,,0,,,
,25-Apr-23,100,99.95,0.03,6384.71,452.34,99.36,0,7.67,,0,99.5,100,100,,0.19,0.06,62.0291,12.44,67.98,-111.31,0,,,,,,,,,,,0,,,
,26-Apr-23,99.94,99.97,0.38,7609.5,328.84,99.44,0,7.63,,0,98,99.32,100,,0.26,1.22,60.8554,13.95,56.48,-111.07,0,,,,,,,,,,,0,,,
,27-Apr-23,99.97,99.86,0.31,7637.69,421.94,100,0,8.09,,0,98.05,100,100,,0.21,0.08,26.7296,5.61,49.23,-111.05,0,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH_ZQ_T2_OM_BHAR19A_A,24-Apr-23,100,99.89,0.01,3727.65,801.87,99.89,0,6.83,,0,98.92,100,100,,0.84,0.5,55.3835,0.8,73.71,-106.63,0,,,,,,,,,,,0,,,
,25-Apr-23,100,99.92,0.02,4142.26,439.28,99.71,0,6.29,,0,100,100,,,0.89,0.01,49.2529,0.93,69.51,-106.75,0,,,,,,,,,,,0,,,
,26-Apr-23,100,99.85,0.02,3403.02,426.08,99.78,0,6.37,,0,99.78,100,100,,0.11,0.15,45.9634,0.68,72.59,-106.79,0,,,,,,,,,,,0,,,
,27-Apr-23,99.86,99.92,0,6600.78,501.47,100,0,6.57,,0,99.7,99.29,100,,0.04,0,57.8152,0.76,56.51,-105.88,0,,,,,,,,,,,0,,,
,28-Apr-23,99.83,99.89,0,3567.96,246,100,,6.02,,0,99.72,100,100,,0.09,0.02,53.6554,0.71,71.28,-105.76,,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_BHAR19B_B,24-Apr-23,99.98,99.97,0,3984.98,626.75,99.6,0,8.03,,0,99.75,100,100,,0.02,0.03,89.1615,2.32,86.79,-108.45,0,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0,5055.91,550.92,100,0,8.27,,0,100,100,100,100,0.04,0.02,74.0783,3.52,82.64,-108.46,0,,,,,,,,,,,2,,,
,26-Apr-23,99.91,99.97,0,4384.14,659.28,100,,8.3,,0,100,100,100,100,0.05,0.04,72.9689,1.91,80.4,-108.42,,,,,,,,,,,,3,,,
,27-Apr-23,100,99.9,0,5239.85,830.69,99.8,0,8.13,,0,100,100,100,,0.01,0.03,80.9322,3.69,81.55,-108.15,0,,,,,,,,,,,0,,,
,28-Apr-23,99.94,99.97,0,6116.59,456.86,99.77,,8.06,,0,100,100,,,0.01,0.02,76.3137,2.04,73.11,-108.32,,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_BHAR19C_C,24-Apr-23,99.95,99.95,0.03,7738.57,1066.41,99.46,0,7.95,,0,100,100,100,,0.15,0,79.7265,0.81,67,-111.82,0,,,,,,,,,,,0,,,
,25-Apr-23,99.97,99.91,0.01,5704.75,2225.41,99.6,0,7.66,,0,100,100,100,,0.01,0.05,76.8197,0.91,67.15,-112.17,0,,,,,,,,,,,0,,,
,26-Apr-23,99.92,100,0.02,5309.12,800.71,99.89,0,7.34,,0,99.53,100,100,,0.02,0.01,69.7884,0.76,67.32,-111.3,0,,,,,,,,,,,0,,,
,27-Apr-23,99.88,99.9,0.02,6770.34,649.64,99.32,0,7.34,,0,99.84,100,100,,0.6,0.17,73.046,0.74,75.92,-111.73,0,,,,,,,,,,,0,,,
,28-Apr-23,99.97,99.99,0.04,5990.53,1093.66,99.7,0,7.63,,0,100,100,100,,0.01,0.01,79.1974,1.33,68.37,-111.4,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_BHAR19C_N,24-Apr-23,100,99.94,0,5541.42,962.19,99.65,0,8.4,,0,99.78,100,100,,0.02,0.07,126.5336,3.51,86.21,-111.43,0,,,,,,,,,,,0,,,
,25-Apr-23,99.99,99.91,0.02,5285.99,999.05,99.87,0,8.38,,0,99.72,100,100,,0.05,0,118.0315,7.03,79.71,-111.78,0,,,,,,,,,,,0,,,
,26-Apr-23,99.99,99.94,0.02,5943.66,1047.53,99.79,0,8.43,,0,99.82,100,100,,0.01,0.01,107.4739,3.49,79.14,-111.01,0,,,,,,,,,,,0,,,
,27-Apr-23,99.97,99.94,0,6958.1,1011.03,99.21,0,8.61,,0,99.78,100,100,,0.05,0.04,117.2804,4.74,70.29,-111.25,0,,,,,,,,,,,0,,,
,28-Apr-23,100,99.95,0,4144.2,848.87,99.87,0,7.52,,0,99.61,100,100,,0.03,0.2,93.8874,3.76,84.81,-111.2,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_BHAR19D_D,24-Apr-23,99.98,99.96,0,3294.21,519.02,99.93,0,6.45,,0,100,100,100,,0.47,0.17,50.5289,0.82,75.09,-108.8,0,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0,3078.31,443.55,100,0,6.26,,0,99.79,100,100,,0.11,0.01,50.6803,1.15,74.85,-109.12,0,,,,,,,,,,,0,,,
,26-Apr-23,99.94,99.84,0.02,3656.46,531.08,99.6,,6.54,,0,100,100,100,,0.04,0.1,51.0002,0.76,64.07,-109.05,,,,,,,,,,,,0,,,
,27-Apr-23,100,99.93,0,3591.02,619.83,99.87,0,6.22,,0,99.51,99.33,87.5,,0.05,0.13,53.0445,1.09,75.87,-108.32,0,,,,,,,,,,,0,,,
,28-Apr-23,100,99.82,0.04,2717.51,279.81,99.93,0,6.35,,0,99.8,100,100,,0.13,0.07,56.5328,0.94,82.12,-108.44,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_CWM226A_A,24-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,25-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,26-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,27-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_CWM226B_B,24-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,25-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,26-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,27-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_CWM226C_C,24-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,25-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,26-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,27-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_MANI22A_A,24-Apr-23,100,99.81,0,5709.22,881.72,99.89,0,8.51,,0,93.89,100,100,,0.22,0.09,57.1535,1.31,62.08,-109.54,0,,,,,,,,,,,0,,,
,25-Apr-23,99.97,99.87,0.11,7257.85,773.85,99.81,0,8.42,,0,75.44,100,100,,0.19,0.28,52.9309,2.48,57.11,-109.09,0,,,,,,,,,,,0,,,
,26-Apr-23,99.97,99.78,0.09,7355.34,823.52,99.94,0,8.25,,0,96.99,100,91.67,100,0.16,0.06,58.5129,1.02,51.5,-108.9,0,,,,,,,,,,,2,,,
,27-Apr-23,100,99.98,0.01,8640.33,796.76,99.83,0,8.31,,0,92.03,100,100,,0.02,0.2,53.1374,1.17,55.91,-108.78,0,,,,,,,,,,,0,,,
,28-Apr-23,99.97,99.9,0.03,10622.88,1032.42,99.64,0,8.45,,0,94.61,100,100,100,0.35,0.08,56.548,1.15,44.2,-108.31,0,,,,,,,,,,,1,,,
CH_ZQ_T2_OM_MANI22B_B,24-Apr-23,100,100,0,6775.86,728.64,100,0,7.93,,0,100,100,100,,0.02,0,64.1357,1.66,69.48,-112.73,0,,,,,,,,,,,0,,,
,25-Apr-23,100,99.85,0,7586.8,954.25,99.87,0,7.83,,0,99.75,100,,,0.1,0,79.7921,2.9,60.58,-112.69,0,,,,,,,,,,,0,,,
,26-Apr-23,100,99.89,0,5715.7,977.5,99.8,0,7.6,,0,100,100,100,,0.04,0.01,76.2409,2.9,76.46,-112.89,0,,,,,,,,,,,0,,,
,27-Apr-23,100,99.96,0,4819.84,913.06,100,0,7.05,,0,100,100,100,,0.02,0.02,78.0224,1.77,84.05,-112.78,0,,,,,,,,,,,0,,,
,28-Apr-23,100,99.91,0,4544.59,974.17,99.78,0,7.48,,0,100,100,100,,0.05,0,81.7086,1.99,82.3,-112.57,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_MANI22C_C,24-Apr-23,99.99,99.98,0.03,2950.55,1157.79,99.91,0,8.05,,0,99.88,100,100,,0.03,0,132.6591,3.12,94.68,-110.38,0,,,,,,,,,,,0,,,
,25-Apr-23,100,99.95,0.02,3620.58,984.36,100,0,8.27,,0,100,100,,,0.16,0.33,122.3349,3.13,94.38,-109.94,0,,,,,,,,,,,0,,,
,26-Apr-23,99.98,99.95,0,3556.93,791.69,99.85,0,8.32,,0,99.85,100,100,,0.05,0.12,135.4756,3.69,91.82,-109.57,0,,,,,,,,,,,0,,,
,27-Apr-23,99.98,99.75,0.01,3405.78,896.2,99.81,0,8.05,,0,99.88,100,100,,0.05,0.04,138.1335,3.45,96.76,-109.65,0,,,,,,,,,,,0,,,
,28-Apr-23,100,99.96,0,3704.3,586.76,99.84,0,8.18,,0,99.86,100,100,,0.03,0.02,151.0682,2.63,95.28,-108.88,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_MANI22D_D,24-Apr-23,100,100,0,9061.68,852.5,99.76,0,8.33,,0,100,100,100,,0,0,48.5003,1.32,47.96,-113.28,0,,,,,,,,,,,0,,,
,25-Apr-23,100,99.82,0,8782.41,851.43,100,0,8.29,,14.29,98.33,100,100,,0.07,0.01,41.3452,0.9,37.93,-112.73,0,,,,,,,,,,,0,,,
,26-Apr-23,100,100,0,8985.56,2048.98,99.79,0,8.05,,0,99.08,100,100,,0.03,0,36.7765,0.74,44.58,-112.39,0,,,,,,,,,,,0,,,
,27-Apr-23,99.95,100,0.08,11939.47,880.35,100,0,8.65,,2.63,100,100,100,,0.05,0.03,32.5043,0.76,28.44,-111.82,0,,,,,,,,,,,0,,,
,28-Apr-23,100,99.91,0,7521.5,528.67,100,0,7.94,,0,99.17,99.31,100,,0.01,0.02,39.1876,1.25,46.1,-111.43,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_PATT30A_A,24-Apr-23,100,100,0,14693.91,902.45,99.52,0,8.63,,0,100,100,100,,0.01,0.01,68.2266,6.38,58.14,-113.04,0,,,,,,,,,,,0,,,
,25-Apr-23,99.98,99.95,0.01,14950.93,934.17,100,0,8.43,,0,99.6,100,100,,0.25,0.01,87.8004,7.82,54.45,-112.88,0,,,,,,,,,,,0,,,
,26-Apr-23,100,99.94,0,12010.67,790.19,99.63,0,9.01,,0,99.72,100,100,,0,0.01,92.977,8.92,59.58,-112.7,0,,,,,,,,,,,0,,,
,27-Apr-23,100,99.97,0,8564.65,814.43,100,0,8.51,,0,100,100,100,,0.01,0.01,108.3808,11.12,69.06,-112.55,0,,,,,,,,,,,0,,,
,28-Apr-23,99.97,99.99,0,9784.66,814.01,100,0,8.49,,0,99.88,100,100,,0,0,105.5634,9.38,54.56,-112.49,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_PATT30B_B,24-Apr-23,99.93,99.72,0.01,2708.32,364.74,97.97,0,7.22,,0,94.47,99.84,98.57,,0.06,0.1,177.8789,15.84,98.46,-109.28,0,,,,,,,,,,,0,,,
,25-Apr-23,99.98,99.85,0.02,2419.89,543.58,98.82,0,7.5,,0,99.57,99.77,100,,0.11,0.08,170.7517,13.57,98.53,-109.21,0,,,,,,,,,,,0,,,
,26-Apr-23,99.96,99.91,0.01,3253.04,408.33,99.11,0,7.4,,0,99.85,100,100,,0.06,0.13,161.9753,13.46,95.76,-108.14,0,,,,,,,,,,,0,,,
,27-Apr-23,99.94,99.79,0,2211.78,495.16,99.31,0,7.22,,0,99.72,99.8,100,100,0.05,0.24,162.6749,14.14,99.17,-109.17,0,,,,,,,,,,,1,,,
,28-Apr-23,99.93,99.84,0.02,2916.59,458.55,99.63,0,7.19,,0,99.19,100,100,100,0.07,0.35,161.4226,14.6,96.86,-107.95,0,,,,,,,,,,,1,,,
CH_ZQ_T2_OM_PATT30B_M,24-Apr-23,100,100,0,19193.94,1006.06,100,0,8.46,,0,100,100,100,,0.01,0.02,23.4973,2.83,36.98,-113.81,0,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0,10469.52,646.54,100,0,7.32,,0,100,100,100,,0.03,0,26.9448,1.96,32.92,-114,0,,,,,,,,,,,0,,,
,26-Apr-23,100,100,0,11249.51,795.15,100,0,6.95,,0,100,100,100,,0.02,0.07,19.1999,2.58,44.97,-113.99,0,,,,,,,,,,,0,,,
,27-Apr-23,100,99.77,0,7200.93,1948.98,100,0,6.98,,0,100,100,100,,0,0.04,19.0728,3.25,38.64,-114.01,0,,,,,,,,,,,0,,,
,28-Apr-23,100,100,0,7172.13,1423.54,100,0,6.8,,0,99.3,100,100,,0.01,0,19.8072,2.11,41.95,-113.84,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_PATT30C_C,24-Apr-23,99.92,99.63,0.03,3330.28,928.65,99.61,0,6.96,,0,98.51,100,100,100,0.06,0.02,83.7564,9.15,67.08,-109.95,0,,,,,,,,,,,1,,,
,25-Apr-23,99.96,99.75,0.03,5541.91,754.97,99.48,0,7.41,,0,99.61,99.52,100,,0.04,0.08,103.0532,9.76,70.15,-109.95,0,,,,,,,,,,,0,,,
,26-Apr-23,99.87,99.33,0,3583.62,536.83,99.87,0,6.8,,0,99.79,100,100,,0.02,0.02,96.9415,9.7,67.63,-109.44,0,,,,,,,,,,,0,,,
,27-Apr-23,99.98,99.9,0.02,4023.47,642.2,99.8,0,6.82,,0,99.82,100,100,,0.07,0.02,92.3742,9.07,88.27,-109.61,0,,,,,,,,,,,0,,,
,28-Apr-23,99.9,99.38,0.03,5517.36,353.23,99.77,0,7.12,,0,100,100,100,,0.04,0.01,93.9957,9.79,80.46,-109.01,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_PATT30D_D,24-Apr-23,99.89,99.78,0.03,2127.62,360.19,97.6,0,6.85,,0,97.49,100,93.62,100,0.15,0.38,114.5805,10.84,71.76,-110.62,0,,,,,,,,,,,1,,,
,25-Apr-23,99.9,99.84,0.02,2409.79,170.07,99.36,0,6.47,,0,99.52,99.7,100,,0.09,0.09,115.4373,10.42,98.17,-110.41,0,,,,,,,,,,,0,,,
,26-Apr-23,99.94,99.93,0.01,2193.07,237.56,99.36,0,6.74,,0,99.63,100,100,,0.1,0.22,113.4687,10.82,74.16,-110.09,0,,,,,,,,,,,0,,,
,27-Apr-23,99.27,99.68,0.01,3700.97,215.12,99.73,0,6.78,,0,99.47,100,100,,0.14,0.03,114.5836,9.84,94.41,-109.9,0,,,,,,,,,,,0,,,
,28-Apr-23,99.62,99.35,0.03,4022.71,96.77,99.14,0,6.88,,2.56,99.55,100,100,,0.28,0.34,111.5144,10.36,87.93,-109.42,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_VALU12A_A,24-Apr-23,99.97,99.94,0.03,5740.09,965.32,99.94,0,8.2,,0,99.57,100,100,,0.04,0.03,66.2818,7.13,64.19,-111.49,0,,,,,,,,,,,0,,,
,25-Apr-23,99.95,99.9,0.03,3643.91,837.78,99.55,0,7.69,,0,99.86,100,100,,0.04,0.02,81.0464,10.03,80.59,-110.8,0,,,,,,,,,,,0,,,
,26-Apr-23,100,99.97,0,7507.13,727.9,99.71,0,7.88,,0,99.09,100,100,,0.06,0.06,84.983,8.31,61.67,-110.56,0,,,,,,,,,,,0,,,
,27-Apr-23,99.95,99.9,0.03,4577.43,625.57,99.89,0,8.04,,0,99.49,100,100,,0.09,0.02,75.8461,12.51,73.27,-110.05,0,,,,,,,,,,,0,,,
,28-Apr-23,99.96,99.96,0.01,4500.23,614.53,100,0,7.64,,0,99.48,100,100,,0.05,0.24,73.4523,7.66,76.04,-109.41,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_VALU12B_B,24-Apr-23,99.87,99.86,0,8666.05,2504.89,99.89,0,7.55,,0,99.73,99.76,100,,0.02,0.03,47.4354,14.85,41.91,-110.95,0,,,,,,,,,,,0,,,
,25-Apr-23,99.98,99.9,0.03,5765.2,615.73,99.91,0,7.46,,0,99.15,99.85,100,,0.05,0.02,56.4118,25.34,63.8,-110.7,0,,,,,,,,,,,0,,,
,26-Apr-23,99.93,99.93,0.04,8677.93,2707.65,99.23,0,7.71,,0,99.19,100,100,,0.01,0.01,60.3419,28.47,55.32,-110.44,0,,,,,,,,,,,0,,,
,27-Apr-23,99.91,99.95,0.03,4917.82,1295.04,99.96,0,7.28,,0,98.91,99.83,100,,0.01,0.04,65.5968,22.24,72.18,-109.58,0,,,,,,,,,,,0,,,
,28-Apr-23,99.94,99.95,0.04,5864.93,1085.43,99.85,0,7.55,,0,99.06,100,100,,0.02,0.03,53.4222,17.96,51.47,-109.48,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_VALU12C_C,24-Apr-23,100,100,0,14064.19,1092.38,100,0,9.28,,0,96.1,100,100,,0.02,0.05,60.3386,3.51,43.03,-111.88,0,,,,,,,,,,,0,,,
,25-Apr-23,99.93,99.96,0,10378.65,1383.49,100,0,8.77,,0,99.28,100,100,,0.02,0.01,59.5904,3.89,51.52,-111.71,0,,,,,,,,,,,0,,,
,26-Apr-23,99.97,99.98,0.02,8831.34,747.49,99.77,0,7.98,,0,97.82,100,100,,0.02,0.09,53.2853,4.49,43.33,-110.99,0,,,,,,,,,,,0,,,
,27-Apr-23,99.97,99.9,0.01,7249.86,696.58,99.76,0,7.87,,0,99.44,100,100,,0.02,0.32,55.0325,5.03,48.76,-110.95,0,,,,,,,,,,,0,,,
,28-Apr-23,99.99,99.97,0.01,9514.09,991.77,99.9,0,7.76,,0,99.65,100,100,,0.07,0.09,52.1943,4.01,40.5,-110.31,0,,,,,,,,,,,0,,,
CH_ZQ_T2_OM_VALU12D_D,24-Apr-23,99.98,99.96,0.01,8993.32,993.59,99.96,0,8.92,,0,99.4,100,100,,0.09,0.02,76.2675,5.19,55.57,-110.61,0,,,,,,,,,,,0,,,
,25-Apr-23,99.97,99.93,0.01,8778.18,994.99,99.74,0,8.82,,0,98.14,100,100,,0.03,0.47,89.1725,5.01,64.45,-110.12,0,,,,,,,,,,,0,,,
,26-Apr-23,99.97,99.96,0,8365.5,798.6,99.87,0,9.04,,0,98.56,99.31,100,,1.7,0.12,90.8151,6.83,63.46,-109.96,0,,,,,,,,,,,0,,,
,27-Apr-23,99.98,99.95,0.02,6212.97,1056.96,99.97,0,8.86,,0,99.64,99.72,100,,0.01,0.04,95.4608,6.74,75.22,-109.43,0,,,,,,,,,,,0,,,
,28-Apr-23,99.92,99.95,0.01,8185.8,815.97,99.9,0,8.83,,0,98.67,100,100,,0.07,0.09,86.698,6.1,64.1,-109,0,,,,,,,,,,,0,,,
