"Short name",,"2G CGI","SDCCH Blocking Rate [BBH]","SDCCH Drop Call Rate [BBH]","TCH Blocking Rate [BBH]","TCH Drop Call Rate [BBH]","Handover Success Rate [BBH]","RX Quality [BBH]","Total Voice Traffic","Handover Success Rate_Denom [BBH]","Drop Call Rate_Nom [BBH]","Drop Call Rate_Denom [BBH]","Number of TRX [BBH]","ICM%[BBH]","Cell Downtime [sec] [BBH]","TCH Utilization [BBH]","Handover Success Rate_Nom [BBH]"
"ZTE-PJ2-ZLUD3329A","23 Feb 23","404-2-2042-33291",0.00,0.08,0.00,0.58,95.73,95.05,109.20,445.00,2.00,480.00,3.00,13.39,0.00,114.31,426.00
,"24 Feb 23","404-2-2042-33291",0.00,0.00,0.28,0.64,94.98,94.95,106.17,478.00,4.00,359.00,3.00,10.27,0.00,120.07,454.00
,"25 Feb 23","404-2-2042-33291",0.00,0.09,0.00,0.68,95.30,95.18,113.30,447.00,1.00,374.00,3.00,10.09,0.00,106.49,426.00
,"26 Feb 23","404-2-2042-33291",0.00,0.00,0.00,0.60,95.68,95.64,49.25,139.00,0.00,163.00,3.00,1.14,0.00,46.33,133.00
,"27 Feb 23","404-2-2042-33291",0.00,0.09,0.00,0.46,93.38,96.46,114.30,423.00,3.00,409.00,3.00,10.98,0.00,98.34,395.00
"ZTE-PJ2-ZLUD3329B","23 Feb 23","404-2-2042-33292",0.00,0.20,3.98,1.91,97.97,96.38,106.92,345.00,1.00,315.00,2.00,8.80,0.00,171.95,338.00
,"24 Feb 23","404-2-2042-33292",0.00,0.38,0.00,1.39,96.75,96.18,111.03,246.00,0.00,140.00,2.00,1.55,0.00,162.97,238.00
,"25 Feb 23","404-2-2042-33292",0.00,0.00,0.00,1.12,97.62,96.41,115.18,336.00,1.00,264.00,2.00,7.69,0.00,161.89,328.00
,"26 Feb 23","404-2-2042-33292",0.00,0.00,1.15,0.23,96.46,96.47,124.29,226.00,0.00,258.00,2.00,5.44,0.00,190.40,218.00
,"27 Feb 23","404-2-2042-33292",0.00,0.00,0.00,0.13,98.88,96.92,121.04,358.00,5.00,312.00,2.00,7.20,0.00,148.03,354.00
"ZTE-PJ2-ZLUD3329C","23 Feb 23","404-2-2042-33293",0.00,0.13,5.26,1.06,99.09,97.15,121.92,328.00,0.00,326.00,2.00,13.15,0.00,162.37,325.00
,"24 Feb 23","404-2-2042-33293",0.00,0.30,1.52,0.47,98.45,97.22,112.43,388.00,3.00,325.00,2.00,14.21,0.00,164.48,382.00
,"25 Feb 23","404-2-2042-33293",0.00,0.15,0.59,0.58,97.95,97.21,111.86,292.00,2.00,335.00,2.00,10.13,0.00,155.56,286.00
,"26 Feb 23","404-2-2042-33293",0.00,0.24,0.00,0.51,97.07,97.04,91.55,239.00,5.00,185.00,2.00,13.38,0.00,110.87,232.00
,"27 Feb 23","404-2-2042-33293",0.00,0.00,2.79,1.41,98.07,97.24,105.39,363.00,1.00,348.00,2.00,10.53,0.00,150.82,356.00
"ZTE-PJ2-ZLUD3329D","23 Feb 23","404-2-2042-33294",0.00,0.00,0.00,0.19,96.02,98.04,64.33,226.00,2.00,393.00,3.00,4.50,0.00,84.19,217.00
,"24 Feb 23","404-2-2042-33294",0.00,0.00,0.00,0.36,96.14,98.05,78.99,311.00,2.00,471.00,3.00,6.19,0.00,116.17,299.00
,"25 Feb 23","404-2-2042-33294",0.00,0.14,0.00,0.42,99.17,97.99,83.06,241.00,0.00,351.00,3.00,5.03,0.00,90.39,239.00
,"26 Feb 23","404-2-2042-33294",0.00,0.00,0.00,0.31,100.00,97.96,34.73,69.00,0.00,95.00,3.00,1.38,0.00,28.52,69.00
,"27 Feb 23","404-2-2042-33294",0.00,0.00,0.00,0.14,99.44,98.47,64.09,179.00,2.00,314.00,3.00,2.71,0.00,81.26,178.00
"ZTE-PJ2-ZLUD890A","23 Feb 23","404-2-2047-64901",0.00,1.18,0.00,1.88,96.45,97.97,45.95,141.00,0.00,108.00,2.00,0.00,0.00,58.57,136.00
,"24 Feb 23","404-2-2047-64901",0.00,0.00,0.00,1.60,89.19,98.20,45.83,111.00,2.00,99.00,2.00,0.07,0.00,53.43,99.00
,"25 Feb 23","404-2-2047-64901",0.00,0.22,0.00,2.02,95.88,97.89,44.55,97.00,0.00,108.00,2.00,0.00,0.00,53.09,93.00
,"26 Feb 23","404-2-2047-64901",0.00,0.00,0.00,0.67,92.66,97.90,42.79,109.00,3.00,66.00,2.00,0.00,0.00,51.98,101.00
,"27 Feb 23","404-2-2047-64901",0.00,0.00,0.00,2.19,97.35,97.56,49.11,113.00,2.00,134.00,2.00,0.00,0.00,65.95,110.00
"ZTE-PJ2-ZLUD890B","23 Feb 23","404-2-2047-64902",0.00,0.29,0.39,0.40,94.79,98.60,96.91,192.00,2.00,253.00,2.00,0.00,0.00,166.65,182.00
,"24 Feb 23","404-2-2047-64902",0.00,0.22,0.00,0.67,93.85,98.76,105.89,179.00,1.00,231.00,2.00,0.00,0.00,160.91,168.00
,"25 Feb 23","404-2-2047-64902",0.00,0.52,0.00,0.68,96.00,98.87,99.83,150.00,0.00,293.00,2.00,0.00,0.00,153.80,144.00
,"26 Feb 23","404-2-2047-64902",0.00,0.00,0.00,0.41,94.15,98.97,91.54,171.00,1.00,214.00,2.00,0.00,0.00,143.05,161.00
,"27 Feb 23","404-2-2047-64902",0.00,0.27,0.00,0.30,93.40,98.95,104.70,197.00,1.00,312.00,2.00,0.00,0.00,139.63,184.00
"ZTE-PJ2-ZLUD890C","23 Feb 23","404-2-2047-64903",0.00,0.00,0.00,3.65,97.66,97.40,31.82,128.00,2.00,57.00,2.00,0.13,0.00,42.71,125.00
,"24 Feb 23","404-2-2047-64903",0.00,0.00,0.00,2.15,95.79,96.77,33.57,95.00,2.00,48.00,2.00,0.00,0.00,42.08,91.00
,"25 Feb 23","404-2-2047-64903",0.00,0.00,0.00,2.56,97.22,96.43,29.11,72.00,1.00,46.00,2.00,0.00,0.00,36.36,70.00
,"26 Feb 23","404-2-2047-64903",0.00,0.56,0.00,3.28,96.10,97.45,28.52,77.00,1.00,53.00,2.00,0.00,0.00,33.02,74.00
,"27 Feb 23","404-2-2047-64903",0.00,0.65,0.00,2.74,96.24,98.16,29.15,133.00,1.00,66.00,2.00,0.00,0.00,42.99,128.00
"ZTE-PJ3-EBTAL19A","23 Feb 23","404-2-2010-60191",0.00,0.00,0.00,0.33,95.37,97.62,19.83,259.00,0.00,83.00,2.00,0.08,0.00,40.25,247.00
,"24 Feb 23","404-2-2010-60191",0.00,0.00,0.00,0.33,98.53,97.77,25.45,272.00,1.00,114.00,2.00,0.22,0.00,39.78,268.00
,"25 Feb 23","404-2-2010-60191",0.00,0.00,0.00,0.62,97.32,97.31,26.54,411.00,0.00,133.00,2.00,0.24,0.00,45.55,400.00
,"26 Feb 23","404-2-2010-60191",0.00,0.49,0.00,0.29,98.27,97.27,18.83,173.00,1.00,110.00,2.00,0.09,0.00,24.64,170.00
,"27 Feb 23","404-2-2010-60191",0.00,0.48,0.00,0.60,97.69,96.06,25.62,346.00,0.00,112.00,2.00,0.00,0.00,45.00,338.00
"ZTE-PJ3-EBTAL19B","23 Feb 23","404-2-2010-60192",0.00,0.73,0.00,0.78,98.61,96.99,31.42,790.00,0.00,137.00,2.00,0.38,0.00,60.92,779.00
,"24 Feb 23","404-2-2010-60192",0.00,0.00,0.00,0.78,98.58,96.37,41.23,1055.00,1.00,99.00,2.00,0.12,0.00,60.36,1040.00
,"25 Feb 23","404-2-2010-60192",0.00,0.00,0.00,1.12,98.97,96.07,33.59,584.00,2.00,78.00,2.00,0.21,0.00,44.84,578.00
,"26 Feb 23","404-2-2010-60192",0.00,0.00,0.00,1.19,99.26,95.28,34.39,543.00,1.00,89.00,2.00,0.21,0.00,50.88,539.00
,"27 Feb 23","404-2-2010-60192",0.00,0.00,0.00,1.57,97.55,96.15,35.17,449.00,1.00,84.00,2.00,0.00,0.00,58.80,438.00
"ZTE-PJ3-EBTAL19C","23 Feb 23","404-2-2010-60193",0.00,0.23,0.00,0.16,98.38,98.29,39.93,185.00,0.00,250.00,3.00,0.55,0.00,83.88,182.00
,"24 Feb 23","404-2-2010-60193",0.00,1.01,0.00,0.16,98.55,98.35,54.66,138.00,0.00,140.00,3.00,0.00,0.00,66.30,136.00
,"25 Feb 23","404-2-2010-60193",0.00,0.00,0.00,0.00,97.65,98.19,51.50,85.00,0.00,125.00,3.00,0.18,0.00,65.50,83.00
,"26 Feb 23","404-2-2010-60193",0.00,0.61,0.00,0.00,99.17,98.38,46.46,120.00,0.00,137.00,3.00,0.00,0.00,69.69,119.00
,"27 Feb 23","404-2-2010-60193",0.00,0.00,0.00,0.00,97.32,98.35,45.18,149.00,0.00,164.00,3.00,0.18,0.00,59.50,145.00
"ZTE-PJ3-ZBTAL19A","23 Feb 23","404-2-2010-60191",,,,,,,,,,,,,,,
,"24 Feb 23","404-2-2010-60191",,,,,,,,,,,,,,,
,"25 Feb 23","404-2-2010-60191",,,,,,,,,,,,,,,
,"26 Feb 23","404-2-2010-60191",,,,,,,,,,,,,,,
,"27 Feb 23","404-2-2010-60191",,,,,,,,,,,,,,,
"ZTE-PJ3-ZBTAL19B","23 Feb 23","404-2-2010-60192",,,,,,,,,,,,,,,
,"24 Feb 23","404-2-2010-60192",,,,,,,,,,,,,,,
,"25 Feb 23","404-2-2010-60192",,,,,,,,,,,,,,,
,"26 Feb 23","404-2-2010-60192",,,,,,,,,,,,,,,
,"27 Feb 23","404-2-2010-60192",,,,,,,,,,,,,,,
"ZTE-PJ3-ZBTAL19C","23 Feb 23","404-2-2010-60193",,,,,,,,,,,,,,,
,"24 Feb 23","404-2-2010-60193",,,,,,,,,,,,,,,
,"25 Feb 23","404-2-2010-60193",,,,,,,,,,,,,,,
,"26 Feb 23","404-2-2010-60193",,,,,,,,,,,,,,,
,"27 Feb 23","404-2-2010-60193",,,,,,,,,,,,,,,
"ZTE-PJ4-ZDKLH39A","23 Feb 23","404-2-2708-64391",0.00,0.00,0.00,0.58,92.31,93.67,58.95,39.00,1.00,150.00,2.00,0.28,0.00,91.83,36.00
,"24 Feb 23","404-2-2708-64391",0.00,0.22,0.00,0.55,87.50,95.15,53.25,24.00,0.00,116.00,2.00,0.09,0.00,76.26,21.00
,"25 Feb 23","404-2-2708-64391",0.00,0.18,0.00,0.22,94.23,96.17,59.96,52.00,1.00,93.00,2.00,0.29,0.00,80.20,49.00
,"26 Feb 23","404-2-2708-64391",0.00,0.16,0.00,0.58,96.00,96.09,50.98,25.00,0.00,105.00,2.00,0.36,0.00,82.74,24.00
,"27 Feb 23","404-2-2708-64391",0.00,0.49,0.00,0.36,96.88,96.79,50.50,32.00,0.00,99.00,2.00,0.00,0.00,69.31,31.00
"ZTE-PJ4-ZDKLH39B","23 Feb 23","404-2-2708-64392",0.00,0.65,0.00,0.42,96.61,97.19,48.99,59.00,2.00,102.00,2.00,0.00,0.00,66.47,57.00
,"24 Feb 23","404-2-2708-64392",0.00,1.22,0.00,0.84,95.56,97.64,52.25,45.00,1.00,129.00,2.00,0.00,0.00,77.54,43.00
,"25 Feb 23","404-2-2708-64392",0.00,1.10,0.00,1.10,95.16,97.24,44.90,62.00,0.00,149.00,2.00,0.00,0.00,62.88,59.00
,"26 Feb 23","404-2-2708-64392",0.00,0.80,0.00,0.91,98.59,96.96,49.80,71.00,0.00,114.00,2.00,0.00,0.00,76.17,70.00
,"27 Feb 23","404-2-2708-64392",0.00,0.42,0.00,0.26,96.55,96.61,58.81,58.00,1.00,69.00,2.00,0.00,0.00,90.15,56.00
"ZTE-PJ4-ZDKLH39C","23 Feb 23","404-2-2708-64393",0.00,0.00,0.00,1.16,93.33,97.23,41.94,30.00,1.00,91.00,2.00,0.19,0.00,88.19,28.00
,"24 Feb 23","404-2-2708-64393",0.00,0.42,0.00,1.05,86.36,97.53,36.24,22.00,0.00,56.00,2.00,0.08,0.00,65.83,19.00
,"25 Feb 23","404-2-2708-64393",0.00,0.00,0.00,0.37,100.00,98.83,35.43,34.00,0.00,66.00,2.00,0.09,0.00,66.00,34.00
,"26 Feb 23","404-2-2708-64393",0.00,0.00,0.00,0.37,100.00,98.39,37.72,25.00,0.00,87.00,2.00,0.00,0.00,90.43,25.00
,"27 Feb 23","404-2-2708-64393",0.00,0.00,0.00,0.00,100.00,98.29,41.04,38.00,0.00,57.00,2.00,0.00,0.00,64.43,38.00
"ZTE-PJ4-ZPLKS01A","23 Feb 23","404-2-2066-28011",0.00,0.53,0.00,2.21,95.12,89.86,105.29,41.00,1.00,244.00,2.00,3.05,0.00,129.05,39.00
,"24 Feb 23","404-2-2066-28011",0.00,1.01,5.57,1.50,94.29,89.05,108.05,70.00,4.00,251.00,2.00,6.39,0.00,171.45,66.00
,"25 Feb 23","404-2-2066-28011",0.00,2.01,1.52,1.17,97.22,89.68,104.71,36.00,5.00,249.00,2.00,8.98,0.00,154.29,35.00
,"26 Feb 23","404-2-2066-28011",0.00,2.04,0.37,1.34,92.59,89.80,95.50,54.00,5.00,266.00,2.00,3.88,0.00,167.10,50.00
,"27 Feb 23","404-2-2066-28011",0.00,1.12,2.17,1.83,91.67,90.18,98.44,36.00,7.00,301.00,2.00,9.87,0.00,140.23,33.00
"ZTE-PJ4-ZPLKS01B","23 Feb 23","404-2-2066-28012",0.00,0.80,19.64,0.49,89.13,97.77,51.97,92.00,3.00,219.00,2.00,1.19,0.00,458.48,82.00
,"24 Feb 23","404-2-2066-28012",0.00,0.73,2.06,0.73,77.78,97.51,50.22,72.00,1.00,187.00,2.00,0.52,0.00,384.83,56.00
,"25 Feb 23","404-2-2066-28012",0.00,1.14,4.05,0.63,92.86,97.04,52.80,56.00,2.00,160.00,2.00,0.00,0.00,454.45,52.00
,"26 Feb 23","404-2-2066-28012",0.00,1.04,2.94,1.05,92.68,97.37,39.76,41.00,1.00,130.00,2.00,1.39,0.00,330.25,38.00
,"27 Feb 23","404-2-2066-28012",0.00,0.94,7.61,0.85,86.36,97.20,51.95,88.00,2.00,169.00,2.00,0.00,0.00,442.61,76.00
"ZTE-PJ4-ZPLKS01C","23 Feb 23","404-2-2066-28013",0.00,1.05,0.00,1.59,98.51,93.30,47.27,67.00,3.00,113.00,2.00,0.00,0.00,87.44,66.00
,"24 Feb 23","404-2-2066-28013",0.00,2.24,0.00,1.63,98.15,93.16,52.89,54.00,2.00,143.00,2.00,0.26,0.00,78.02,53.00
,"25 Feb 23","404-2-2066-28013",0.00,0.76,0.00,2.10,92.31,93.65,46.83,26.00,3.00,44.00,2.00,0.16,0.00,60.41,24.00
,"26 Feb 23","404-2-2066-28013",0.00,0.63,0.00,3.62,93.94,94.72,44.51,33.00,0.00,63.00,2.00,0.27,0.00,70.89,31.00
,"27 Feb 23","404-2-2066-28013",0.00,1.24,0.00,2.74,77.01,95.25,44.19,87.00,6.00,104.00,2.00,0.54,0.00,77.01,67.00
"ZTE-PJ4-ZPLKS01D","23 Feb 23","404-2-2066-28014",0.00,0.00,0.00,0.00,,99.95,0.51,0.00,0.00,6.00,2.00,0.05,0.00,3.12,0.00
,"24 Feb 23","404-2-2066-28014",0.00,0.00,0.00,0.00,100.00,99.99,0.63,2.00,0.00,14.00,2.00,0.00,0.00,2.50,2.00
,"25 Feb 23","404-2-2066-28014",0.00,0.00,0.00,0.00,100.00,99.93,0.70,1.00,0.00,13.00,2.00,0.00,0.00,1.86,1.00
,"26 Feb 23","404-2-2066-28014",0.00,,,0.00,,99.94,0.11,0.00,0.00,0.00,2.00,0.00,0.00,0.99,0.00
,"27 Feb 23","404-2-2066-28014",0.00,0.00,0.00,0.00,,99.94,0.56,0.00,0.00,4.00,2.00,0.00,0.00,3.05,0.00
"ZTE-PJ4-ZPLKS01E","23 Feb 23","404-2-2066-28015",0.00,0.00,0.00,0.72,100.00,99.62,27.50,13.00,0.00,121.00,2.00,1.96,0.00,60.24,13.00
,"24 Feb 23","404-2-2066-28015",0.00,0.00,0.00,0.72,100.00,99.51,24.97,16.00,0.00,106.00,2.00,0.08,0.00,58.63,16.00
,"25 Feb 23","404-2-2066-28015",0.00,0.00,0.00,0.00,100.00,99.49,16.74,5.00,0.00,59.00,2.00,0.15,0.00,45.91,5.00
,"26 Feb 23","404-2-2066-28015",0.00,0.00,0.00,0.00,,99.57,8.86,0.00,0.00,47.00,2.00,0.00,0.00,26.43,0.00
,"27 Feb 23","404-2-2066-28015",0.00,0.00,0.00,0.00,100.00,99.83,16.58,6.00,0.00,91.00,2.00,0.90,0.00,38.09,6.00
