"Short name",,"MV_RRC Setup Success Rate [CDBH]","MV_ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","MV_E-UTRAN Average CQI [CDBH]","UL RSSI PUCCH","MV_VoLTE DCR [CBBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","MV_4G Data Volume_GB","MV_VoLTE Traffic","MV_Average number of used DL PRBs [CDBH]"
,"29 Mar 23",100.00,99.88,0.00,3241.61,276.38,99.30,,8.62,,0.00,96.15,100.00,100.00,,0.10,0.31,16.8765,12.08,54.73
,"30 Mar 23",100.00,99.95,0.00,4404.51,315.05,98.09,,8.23,,0.00,98.39,100.00,100.00,,0.06,0.12,16.1238,11.04,38.70
,"31 Mar 23",99.93,99.85,0.55,4170.54,297.70,99.74,,7.79,,0.00,98.04,100.00,100.00,,0.08,0.03,12.2832,9.72,39.96
"CH_ZQ_T2_IM_INJAM8D_D","27 Mar 23",99.94,99.95,0.02,8160.25,1017.65,100.00,0.00,8.07,,0.00,100.00,100.00,100.00,,0.13,0.04,27.9211,0.77,39.29
,"28 Mar 23",100.00,99.94,0.02,6511.14,955.15,100.00,0.00,8.06,,0.00,100.00,100.00,100.00,,0.06,0.48,30.9477,0.68,46.19
,"29 Mar 23",100.00,99.93,0.06,5178.13,628.48,99.87,0.00,8.29,,0.00,99.14,100.00,100.00,,0.02,0.03,33.8079,0.92,65.09
,"30 Mar 23",99.85,99.87,0.07,8843.89,548.92,99.89,0.00,8.19,,0.00,99.61,100.00,100.00,,0.08,0.03,35.3831,0.66,47.03
,"31 Mar 23",99.79,99.98,0.00,6432.93,1127.66,99.95,0.00,8.36,,0.00,99.15,100.00,100.00,,0.03,0.02,36.6341,0.86,56.21
"CH_ZQ_T2_OM_ANNA25A_A","27 Mar 23",99.96,99.95,0.16,5080.84,628.78,99.88,0.00,7.61,,0.00,99.67,100.00,100.00,,0.05,0.01,53.7473,3.21,67.52
,"28 Mar 23",100.00,99.94,0.08,5511.43,905.75,99.74,0.00,7.36,,0.00,99.76,100.00,100.00,,0.01,0.00,57.9624,4.73,62.41
,"29 Mar 23",100.00,99.85,0.14,4670.38,620.12,99.25,0.00,7.32,,0.00,99.90,100.00,100.00,100.00,0.13,0.04,59.6745,2.97,66.95
,"30 Mar 23",100.00,100.00,0.04,7528.25,476.36,99.91,0.00,7.31,,0.00,100.00,100.00,100.00,,0.02,0.01,58.2672,4.34,54.06
,"31 Mar 23",99.96,99.93,0.18,4929.69,694.39,99.78,0.00,7.45,,0.00,99.68,100.00,100.00,,0.03,0.02,59.5711,2.23,67.03
"CH_ZQ_T2_OM_ANNA25B_B","27 Mar 23",99.96,100.00,0.30,11500.80,924.61,98.90,0.00,9.90,,0.00,100.00,100.00,100.00,,0.05,0.03,120.9438,3.03,64.91
,"28 Mar 23",99.97,99.98,0.04,7221.95,1268.09,100.00,0.00,8.38,,0.00,99.72,99.68,100.00,,0.01,0.01,135.2602,2.92,75.57
,"29 Mar 23",99.96,99.92,0.26,11661.00,1016.10,100.00,0.00,9.59,,0.00,100.00,100.00,100.00,,0.24,0.03,122.3434,4.27,61.24
,"30 Mar 23",99.97,99.92,0.06,4571.75,883.02,100.00,0.00,8.04,,0.00,99.65,100.00,100.00,,0.01,0.05,127.6097,3.40,87.20
,"31 Mar 23",99.96,99.95,0.06,7007.10,1154.67,100.00,0.00,8.15,,0.00,99.81,99.75,100.00,,0.10,0.07,136.4050,3.28,75.70
"CH_ZQ_T2_OM_ANNA25C_C","27 Mar 23",100.00,99.96,0.04,8945.71,740.72,100.00,0.00,8.63,,0.00,99.88,99.47,100.00,,0.03,0.17,72.1477,4.47,43.94
,"28 Mar 23",100.00,99.95,0.04,11397.34,896.53,100.00,0.00,8.68,,0.00,99.78,100.00,100.00,,0.00,0.01,80.1730,4.79,49.73
,"29 Mar 23",100.00,100.00,0.00,34944.74,1435.76,100.00,,10.76,,0.00,100.00,100.00,100.00,,0.01,0.07,80.9868,7.04,25.83
,"30 Mar 23",100.00,99.97,0.18,10374.09,761.39,100.00,0.00,8.41,,0.00,99.93,100.00,100.00,,0.01,0.01,82.7750,5.89,54.37
,"31 Mar 23",99.94,99.79,0.02,7274.08,326.04,99.46,0.00,8.17,,0.00,100.00,100.00,100.00,,0.02,0.44,82.8874,3.96,50.30
"CH_ZQ_T2_OM_ANNA25D_D","27 Mar 23",99.96,99.88,0.11,8166.01,840.02,99.93,0.00,9.01,,0.00,99.73,100.00,100.00,,0.07,0.13,136.1894,5.53,71.10
,"28 Mar 23",99.95,99.97,0.07,7140.41,956.45,99.87,0.00,8.90,,0.00,99.62,100.00,100.00,,0.07,0.01,143.2780,4.03,73.13
,"29 Mar 23",99.95,99.98,0.05,5942.61,818.44,100.00,0.00,8.85,,0.00,99.69,100.00,100.00,,0.08,0.04,139.0421,4.44,83.18
,"30 Mar 23",99.90,99.95,0.11,6190.29,715.10,99.88,0.00,8.77,,0.00,99.42,100.00,100.00,,0.05,0.01,143.6779,4.24,76.74
,"31 Mar 23",99.99,99.95,0.05,6983.89,1656.95,99.93,0.00,9.01,,0.00,99.73,100.00,100.00,,0.07,0.38,135.0511,4.46,72.99
"CH_ZQ_T2_OM_BHAR19A_A","27 Mar 23",100.00,99.98,0.00,7052.67,1543.04,99.73,0.00,6.96,,0.00,98.51,100.00,100.00,,0.21,1.89,56.1660,0.72,48.93
,"28 Mar 23",99.98,99.97,0.01,3355.29,672.95,99.96,0.00,6.47,,0.00,97.84,100.00,100.00,,0.25,0.02,54.9845,0.72,77.58
,"29 Mar 23",100.00,99.91,0.05,4131.18,754.35,99.91,0.00,6.69,,0.00,97.49,100.00,100.00,100.00,0.16,0.03,63.8715,0.76,73.42
,"30 Mar 23",100.00,99.93,0.00,5527.92,593.06,99.85,0.00,6.55,,0.00,94.00,100.00,100.00,,0.18,0.02,65.1946,0.88,64.27
,"31 Mar 23",99.92,99.99,0.00,4648.21,867.52,99.91,0.00,6.65,,0.00,92.66,100.00,100.00,,0.26,0.85,60.0416,0.83,78.21
"CH_ZQ_T2_OM_BHAR19B_B","27 Mar 23",99.96,99.98,0.00,6744.61,419.50,99.78,0.00,8.20,,0.00,99.75,100.00,100.00,100.00,0.09,0.04,83.9832,2.37,68.81
,"28 Mar 23",99.98,99.87,0.01,5394.27,633.85,100.00,0.00,8.17,,0.00,99.77,100.00,100.00,,0.04,0.02,93.3871,3.66,80.43
,"29 Mar 23",100.00,100.00,0.00,7302.22,289.66,100.00,0.00,8.55,,0.00,100.00,100.00,100.00,100.00,0.00,0.02,92.9559,7.87,79.67
,"30 Mar 23",99.96,100.00,0.00,7567.11,516.37,100.00,0.00,8.54,,0.00,99.78,100.00,100.00,,0.00,0.01,90.4108,6.33,66.19
,"31 Mar 23",99.98,99.91,0.00,5857.21,189.19,99.40,0.00,8.52,,0.00,100.00,100.00,100.00,100.00,0.04,0.02,98.1759,5.03,74.21
"CH_ZQ_T2_OM_BHAR19C_C","27 Mar 23",100.00,99.91,0.02,7354.88,978.40,99.80,0.00,7.44,,0.00,100.00,99.52,100.00,,0.05,0.00,81.3465,0.85,69.87
,"28 Mar 23",99.98,99.97,0.00,6228.84,1084.63,99.83,0.00,7.44,,0.00,99.82,100.00,100.00,,0.17,0.06,79.9831,0.79,66.32
,"29 Mar 23",99.92,99.96,0.00,7224.41,1032.29,99.93,0.00,7.53,,0.00,99.82,100.00,,,0.00,0.00,76.4447,0.91,69.24
,"30 Mar 23",99.96,99.94,0.01,7150.47,1187.33,99.94,0.00,7.76,,0.00,100.00,100.00,100.00,,0.03,0.02,76.3416,0.79,74.04
,"31 Mar 23",99.96,99.84,0.01,5867.64,385.65,99.85,0.00,6.97,,0.00,100.00,100.00,100.00,,1.10,1.62,80.6119,0.83,65.24
"CH_ZQ_T2_OM_BHAR19C_N","27 Mar 23",99.98,99.93,0.02,6838.35,2378.47,99.64,0.00,8.05,,0.00,99.84,100.00,100.00,,0.08,0.02,108.6978,3.64,66.76
,"28 Mar 23",99.98,99.93,0.01,4769.90,776.19,99.63,0.00,8.57,,0.00,99.79,100.00,100.00,,0.06,0.02,134.7303,5.58,86.49
,"29 Mar 23",99.96,99.89,0.02,5235.46,719.21,99.64,0.00,8.59,,0.00,99.94,100.00,100.00,,0.03,0.08,125.1532,4.53,86.52
,"30 Mar 23",99.98,99.93,0.00,5873.12,1058.43,99.75,0.00,8.80,,0.00,99.84,100.00,100.00,,0.05,0.02,140.9906,5.94,80.26
,"31 Mar 23",99.98,99.94,0.00,5150.25,744.61,99.52,0.00,8.45,,0.00,99.88,100.00,100.00,,0.01,0.01,122.4560,4.05,81.28
"CH_ZQ_T2_OM_BHAR19D_D","27 Mar 23",99.95,99.92,0.01,3748.05,304.94,99.93,0.00,6.53,,0.00,99.56,100.00,100.00,,0.12,0.05,58.8146,1.52,72.43
,"28 Mar 23",99.97,99.93,0.00,2828.25,663.79,99.83,0.00,6.26,,0.00,99.46,100.00,100.00,,0.06,0.02,57.6362,1.10,81.53
,"29 Mar 23",99.92,99.94,0.02,3100.07,237.76,100.00,0.00,6.71,,0.00,99.52,100.00,100.00,,0.06,0.09,56.6745,1.57,79.81
,"30 Mar 23",99.94,99.93,0.01,4114.57,657.27,99.91,0.00,6.73,,0.00,100.00,100.00,100.00,,0.54,0.37,60.5361,0.88,75.22
,"31 Mar 23",99.80,99.81,0.00,3609.56,98.17,99.65,0.00,6.54,,0.00,99.37,100.00,100.00,,0.04,0.04,61.3951,1.49,73.97
"CH_ZQ_T2_OM_MANGD4A_L","27 Mar 23",100.00,99.94,0.00,5964.71,664.08,99.67,0.00,8.34,,0.00,100.00,100.00,100.00,,0.10,0.00,54.7691,0.68,86.57
,"28 Mar 23",100.00,99.68,0.02,4275.58,991.14,100.00,0.00,8.04,,0.00,100.00,99.25,100.00,,0.07,0.07,53.9401,0.92,73.49
,"29 Mar 23",100.00,100.00,0.00,8119.10,1198.41,100.00,0.00,8.69,,0.00,100.00,100.00,100.00,,0.02,0.03,60.4159,1.07,67.19
,"30 Mar 23",99.91,99.87,0.00,5311.18,962.82,99.92,0.00,8.45,,0.00,100.00,100.00,100.00,,0.04,0.01,62.8313,0.75,70.57
,"31 Mar 23",99.96,99.96,0.02,6892.03,1204.01,100.00,0.00,8.86,,0.00,100.00,100.00,100.00,,0.07,0.05,59.8285,1.00,61.53
"CH_ZQ_T2_OM_MANI22A_A","27 Mar 23",99.97,99.90,0.00,6537.04,1213.28,99.89,0.00,7.97,,0.00,99.38,100.00,100.00,,0.43,0.17,56.7397,1.59,57.17
,"28 Mar 23",100.00,99.90,0.00,12670.07,1197.21,99.90,0.00,9.16,,0.00,98.26,100.00,100.00,,0.05,0.07,53.5248,1.57,36.06
,"29 Mar 23",99.97,99.88,0.01,8946.78,1121.05,99.80,0.00,8.48,,0.00,97.87,99.61,100.00,,0.04,0.02,52.9529,1.65,43.28
,"30 Mar 23",100.00,99.87,0.01,9589.26,1149.13,99.94,0.00,8.61,,0.00,97.68,100.00,100.00,,0.02,0.04,52.0632,2.11,55.09
,"31 Mar 23",100.00,99.90,0.01,9237.30,1003.76,99.94,0.00,8.70,,0.00,98.72,100.00,100.00,,0.01,0.01,57.3356,1.89,49.89
"CH_ZQ_T2_OM_MANI22B_B","27 Mar 23",100.00,99.96,0.00,8772.32,771.53,99.86,0.00,7.57,,0.00,100.00,100.00,100.00,,0.02,0.02,70.5770,2.10,56.35
,"28 Mar 23",100.00,99.96,0.02,8424.31,882.24,99.73,0.00,7.65,,0.00,100.00,100.00,100.00,,0.07,0.00,69.0426,1.12,63.43
,"29 Mar 23",99.98,99.93,0.01,7533.63,3160.96,99.86,0.00,7.79,,0.00,99.38,100.00,100.00,,0.01,0.01,63.7388,1.21,54.61
,"30 Mar 23",99.97,99.98,0.04,7562.39,718.81,98.93,0.00,7.99,,0.00,100.00,100.00,100.00,,0.03,0.01,63.0433,1.61,60.85
,"31 Mar 23",99.73,99.67,0.03,6024.88,462.10,97.38,0.00,7.55,,0.00,94.41,100.00,100.00,,0.01,0.00,70.8571,1.02,55.11
"CH_ZQ_T2_OM_MANI22C_C","27 Mar 23",99.97,99.89,0.01,4345.31,171.88,99.89,0.00,7.36,,0.00,100.00,100.00,100.00,100.00,0.29,0.09,118.6213,2.63,84.85
,"28 Mar 23",99.99,99.92,0.01,3843.20,622.85,100.00,0.00,7.19,,0.00,99.62,100.00,100.00,,0.13,0.05,114.3122,2.41,83.27
,"29 Mar 23",99.96,99.82,0.02,3998.17,274.22,99.77,0.00,7.32,,4.35,99.54,99.79,100.00,,0.16,0.07,115.9692,3.80,79.83
,"30 Mar 23",100.00,99.91,0.20,6652.38,348.37,100.00,0.00,7.96,,0.00,99.81,100.00,100.00,,0.37,0.15,117.1421,3.51,77.38
,"31 Mar 23",99.98,99.90,0.00,3109.56,394.32,99.60,0.00,8.22,,25.00,97.01,100.00,100.00,,0.28,1.55,137.5108,2.19,72.00
"CH_ZQ_T2_OM_MANI22D_D","27 Mar 23",100.00,99.95,0.00,6968.56,882.15,98.86,0.00,8.62,,0.00,92.22,100.00,100.00,,0.49,0.01,50.7941,0.97,41.64
,"28 Mar 23",100.00,99.86,0.00,10273.93,785.77,100.00,0.00,8.84,,0.00,96.36,100.00,100.00,,0.01,0.01,52.6571,1.18,46.62
,"29 Mar 23",100.00,99.92,0.00,9793.83,1562.99,100.00,0.00,8.20,,0.00,94.08,100.00,100.00,,0.01,0.01,50.5646,1.01,42.20
,"30 Mar 23",99.95,99.94,0.00,9879.43,938.11,99.11,0.00,9.39,,0.00,97.67,100.00,100.00,,0.03,0.02,47.3935,1.15,30.36
,"31 Mar 23",100.00,99.96,0.00,11098.91,832.84,99.86,0.00,8.57,,0.00,95.50,100.00,,,0.00,0.01,50.8948,2.64,48.49
"CH_ZQ_T2_OM_OTTE13B_M","27 Mar 23",100.00,100.00,0.03,11828.43,910.12,100.00,0.00,7.97,,0.00,99.50,100.00,100.00,,0.09,0.06,55.8015,0.82,48.03
,"28 Mar 23",100.00,100.00,0.00,8003.85,784.66,99.44,0.00,8.01,,0.00,99.49,100.00,100.00,,0.00,0.01,56.8116,2.34,62.82
,"29 Mar 23",100.00,100.00,0.00,9597.18,1306.98,100.00,0.00,8.03,,0.00,100.00,100.00,,,0.02,0.19,62.8362,1.02,52.68
,"30 Mar 23",100.00,100.00,0.08,13098.89,1014.35,100.00,0.00,8.33,,0.00,99.53,100.00,100.00,,0.01,0.01,58.3793,2.83,41.23
,"31 Mar 23",100.00,100.00,0.00,14771.74,728.53,100.00,0.00,8.55,,0.00,99.62,100.00,100.00,,0.00,0.02,63.0636,1.12,45.21
"CH_ZQ_T2_OM_PATT30A_A","27 Mar 23",100.00,99.96,0.01,13316.44,879.94,100.00,0.00,9.05,,0.00,100.00,100.00,100.00,,0.00,0.00,156.1929,9.55,66.14
,"28 Mar 23",99.98,99.83,0.01,8434.24,880.03,100.00,0.00,8.93,,0.00,100.00,100.00,100.00,,0.02,0.00,163.5510,11.42,84.13
,"29 Mar 23",100.00,99.89,0.00,9088.90,686.39,99.20,0.00,8.62,,3.85,89.98,100.00,100.00,,0.11,0.02,149.3900,8.77,71.40
,"30 Mar 23",100.00,99.94,0.02,10357.23,908.07,99.72,0.00,8.82,,0.00,82.97,100.00,100.00,,0.00,0.00,165.1818,7.68,75.71
,"31 Mar 23",100.00,99.95,0.00,9347.18,448.05,99.56,,9.24,,0.00,98.66,99.47,100.00,,0.03,0.00,145.5177,6.32,51.35
"CH_ZQ_T2_OM_PATT30B_B","27 Mar 23",99.83,99.73,0.02,3677.27,327.34,98.87,0.00,7.24,,0.00,99.39,99.77,100.00,,0.04,0.16,168.4309,16.65,93.40
,"28 Mar 23",99.90,99.88,0.01,2543.23,288.24,99.23,0.00,7.39,,0.00,90.61,99.78,100.00,,0.08,0.22,172.3801,14.55,80.23
,"29 Mar 23",99.94,99.85,0.01,4142.51,313.26,99.12,0.00,7.15,,0.00,86.65,100.00,98.51,,0.04,0.07,176.8460,15.19,96.43
,"30 Mar 23",99.96,99.90,0.02,3344.02,472.03,99.24,0.00,7.31,,0.00,91.94,100.00,100.00,,0.05,0.16,173.8018,15.37,96.27
,"31 Mar 23",99.95,99.92,0.02,3581.89,443.70,99.42,0.00,7.20,,0.00,90.12,99.78,97.62,100.00,0.02,0.09,150.0619,15.49,95.44
"CH_ZQ_T2_OM_PATT30B_M","27 Mar 23",99.93,100.00,0.00,9077.40,1098.89,100.00,0.00,7.19,,0.00,100.00,100.00,100.00,,0.00,0.03,18.6644,1.59,26.83
,"28 Mar 23",100.00,100.00,0.00,6739.99,1719.01,100.00,0.00,6.29,,0.00,100.00,100.00,100.00,,0.01,0.00,24.8490,2.39,36.81
,"29 Mar 23",100.00,99.91,0.00,8206.48,850.52,99.59,0.00,6.59,,0.00,100.00,100.00,100.00,,0.12,0.02,24.5295,2.87,59.07
,"30 Mar 23",100.00,99.94,0.00,9165.96,650.45,100.00,0.00,6.96,,0.00,100.00,100.00,100.00,,0.00,0.04,24.3095,1.13,34.56
,"31 Mar 23",100.00,99.97,0.00,9873.66,7444.18,99.69,0.00,6.81,,0.00,100.00,100.00,100.00,,0.00,0.00,28.5525,1.71,41.61
"CH_ZQ_T2_OM_PATT30C_C","27 Mar 23",99.84,99.73,0.00,4338.81,319.28,99.65,0.00,7.08,,0.00,84.33,100.00,100.00,,0.03,0.03,80.9976,8.11,76.81
,"28 Mar 23",99.97,99.83,0.00,5177.50,498.09,99.15,0.00,6.84,,0.00,90.75,100.00,89.47,,0.06,0.01,82.3943,8.41,77.92
,"29 Mar 23",100.00,99.53,0.00,3885.08,363.64,99.83,0.00,6.71,,0.00,88.54,100.00,100.00,,0.07,0.02,85.5079,8.06,79.19
,"30 Mar 23",99.86,99.82,0.00,4392.08,685.41,99.23,0.00,7.04,,0.00,89.64,99.60,100.00,,0.03,0.02,78.9602,7.23,75.08
,"31 Mar 23",99.86,99.80,0.03,3659.06,209.33,99.56,0.00,7.11,,0.00,99.11,100.00,100.00,,0.03,0.01,78.6149,8.40,59.25
"CH_ZQ_T2_OM_PATT30D_D","27 Mar 23",99.82,99.97,0.03,3593.74,205.43,97.26,0.00,7.15,,1.64,83.82,100.00,97.14,,0.13,0.56,111.5051,11.13,87.96
,"28 Mar 23",99.85,99.89,0.02,3449.24,308.00,97.66,0.00,7.08,,0.00,85.85,100.00,95.45,,0.14,0.04,116.5995,8.30,88.45
,"29 Mar 23",99.72,99.64,0.02,2804.08,136.07,97.05,0.00,6.76,,0.00,87.83,99.36,96.55,100.00,0.25,0.08,112.9124,6.98,90.29
,"30 Mar 23",99.90,99.71,0.02,2806.80,207.24,97.88,0.00,7.01,,0.00,88.58,100.00,91.84,,0.18,0.18,118.6926,8.57,98.20
,"31 Mar 23",99.98,99.92,0.02,5599.33,414.52,96.92,0.00,7.77,,0.00,97.44,99.73,96.49,,0.08,0.04,114.7712,7.91,57.87
"CH_ZQ_T2_OM_TVTY24A_L","27 Mar 23",99.96,99.94,0.11,4549.62,686.27,99.83,,7.43,,0.00,99.74,100.00,100.00,,0.04,0.02,85.1194,3.26,85.11
,"28 Mar 23",100.00,100.00,0.06,4876.77,1028.26,100.00,,7.82,,0.00,99.23,100.00,100.00,,0.01,0.02,88.9148,2.21,85.02
,"29 Mar 23",99.92,99.90,0.11,4797.61,470.33,99.55,,7.47,,0.00,100.00,100.00,100.00,,0.03,0.03,86.1881,1.71,81.71
,"30 Mar 23",99.97,99.96,0.08,5361.13,275.68,99.75,,7.92,,0.00,100.00,100.00,80.00,,0.01,0.02,83.3110,1.72,77.99
,"31 Mar 23",99.93,99.98,0.04,4493.49,352.78,99.34,,7.45,,0.00,99.75,100.00,100.00,,0.01,0.03,88.9050,1.41,84.62
"CH_ZQ_T2_OM_TVTY24C_N","27 Mar 23",100.00,99.86,0.13,8074.41,405.55,99.78,,8.09,,0.00,100.00,100.00,100.00,,0.01,0.06,71.8409,4.25,58.38
,"28 Mar 23",99.97,99.90,0.09,5667.70,1120.01,99.61,,6.93,,0.00,99.41,100.00,100.00,,0.04,0.02,71.2907,2.09,65.89
,"29 Mar 23",99.96,99.88,0.13,8301.08,519.37,99.75,,7.72,,0.00,100.00,100.00,100.00,,0.07,0.03,66.0203,2.57,53.37
,"30 Mar 23",100.00,99.92,0.06,6812.19,831.81,99.63,,7.83,,0.00,100.00,99.51,100.00,,0.03,0.01,80.4397,3.63,63.95
,"31 Mar 23",100.00,100.00,0.02,10817.57,1567.82,100.00,,8.43,,0.00,100.00,100.00,85.71,,0.19,0.04,74.1837,2.16,46.35
"CH_ZQ_T2_OM_VILLI4A_L","27 Mar 23",99.92,99.90,0.00,4360.46,648.45,99.88,0.00,8.74,,0.00,99.11,100.00,100.00,,0.01,0.02,67.1055,1.16,90.48
,"28 Mar 23",99.93,99.89,0.00,5914.08,712.75,99.89,0.00,8.24,,0.00,98.29,100.00,100.00,100.00,0.10,0.06,67.2846,0.98,78.56
,"29 Mar 23",99.97,99.80,0.02,4350.52,393.17,99.86,0.00,8.75,,0.00,99.18,100.00,100.00,,0.02,0.00,74.5363,1.47,87.33
,"30 Mar 23",99.92,99.94,0.04,5055.52,496.28,100.00,0.00,8.40,,0.00,99.14,100.00,100.00,,0.14,0.08,71.0070,1.69,81.16
,"31 Mar 23",100.00,100.00,0.00,2957.48,453.32,99.66,0.00,8.46,,0.00,100.00,100.00,100.00,,0.00,0.00,69.0612,1.45,68.93
"CH_ZQ_T2_OM_VYAS4C_N","27 Mar 23",100.00,99.92,0.09,2268.12,315.47,99.80,,8.03,,0.00,95.59,100.00,100.00,,0.03,0.19,60.7439,36.45,69.45
,"28 Mar 23",100.00,99.94,0.00,5093.94,598.98,99.70,,8.73,,0.00,95.98,100.00,100.00,,0.03,0.04,63.2498,40.92,54.82
,"29 Mar 23",99.96,99.94,0.04,2355.88,446.59,98.64,,8.16,,0.00,99.22,100.00,100.00,,0.06,0.28,61.2178,40.84,67.51
,"30 Mar 23",99.98,99.93,0.12,3850.60,387.52,100.00,,7.53,,0.00,99.10,100.00,100.00,,0.07,0.04,56.9289,36.46,73.64
,"31 Mar 23",99.73,99.81,0.38,2162.19,137.41,99.34,,7.99,,0.00,99.74,100.00,100.00,,0.03,0.06,53.4320,37.47,64.06
